title:فارس نعم, start timestamp:1703504412.700441, stop timestamp:1703504423.459927, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504412.700441,1703504412.700285,102.000000,0.000000,4090.769287,4256.922852,4314.615234,4344.615234,4280.769043,4286.666504,4309.743652,4361.922852,4297.820313,4261.794922,4507.179688,4502.692383,4326.922852,4428.717773,6103.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.708249,1703504412.708193,103.000000,0.000000,4107.179688,4267.948730,4325.128418,4370.128418,4289.230957,4290.769043,4321.922852,4381.282227,4321.666504,4288.974121,4528.846191,4517.307617,4348.717773,4449.230957,6396.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.716057,1703504412.716001,104.000000,0.000000,4115.641113,4273.077148,4330.512695,4383.717773,4296.153809,4293.974121,4333.846191,4395.641113,4344.230957,4302.820313,4540.384766,4528.205078,4365.128418,4461.153809,6858.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.703568,-0.275696,-0.654968,0.001038,0.905384,-0.381394,-0.024417,-7.162314,-44.707535,58.175335
1703504412.723865,1703504412.723909,105.000000,0.000000,4117.179688,4272.820313,4330.256348,4387.563965,4298.333496,4295.769043,4338.205078,4393.205078,4345.256348,4300.641113,4543.077148,4525.769043,4363.974121,4456.666504,7062.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.731673,1703504412.731717,106.000000,0.000000,4117.179688,4273.333496,4327.820313,4396.282227,4302.307617,4293.717773,4337.948730,4386.538574,4341.025879,4304.743652,4547.820313,4521.794922,4354.487305,4456.666504,6103.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.739481,1703504412.739625,107.000000,0.000000,4118.077148,4270.512695,4327.307617,4400.897461,4300.000000,4285.000000,4338.974121,4388.461426,4344.230957,4311.538574,4544.743652,4523.077148,4347.179688,4457.179688,6396.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.747289,1703504412.747433,108.000000,0.000000,4126.794922,4268.333496,4326.282227,4396.666504,4294.487305,4286.538574,4337.563965,4391.025879,4349.615234,4314.230957,4540.897461,4522.307617,4342.948730,4455.128418,6858.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.703803,-0.276978,-0.654175,0.000366,0.913197,-0.368209,-0.000977,-7.312749,-44.720116,58.224468
1703504412.755097,1703504412.755341,109.000000,0.000000,4137.692383,4267.948730,4328.846191,4392.179688,4296.666504,4293.846191,4334.230957,4383.846191,4341.153809,4316.922852,4542.307617,4517.948730,4332.948730,4453.846191,7062.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.762905,1703504412.763149,110.000000,0.000000,4137.179688,4264.230957,4328.974121,4381.794922,4290.128418,4282.948730,4328.717773,4371.025879,4320.384766,4310.256348,4532.692383,4511.794922,4318.077148,4449.102539,6103.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504412.770713,1703504412.771057,111.000000,0.000000,4132.563965,4257.948730,4318.461426,4366.410156,4277.436035,4273.589844,4317.948730,4362.820313,4313.461426,4295.897461,4519.358887,4503.461426,4306.410156,4441.666504,6396.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
