title:محمد نعم, start timestamp:1703414855.162482, stop timestamp:1703414866.093752, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1401      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703414855.162482,1703415054.728589,38.000000,0.000000,4342.692383,4250.897461,4342.563965,4297.948730,4238.077148,4130.641113,4212.563965,4237.563965,4230.384766,4202.436035,4570.641113,4500.000000,4414.358887,4555.384766,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.170290,1703415054.736297,39.000000,0.000000,4341.025879,4250.256348,4343.333496,4283.461426,4235.641113,4143.333496,4213.205078,4237.820313,4229.358887,4209.487305,4575.256348,4504.743652,4398.077148,4549.487305,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.178098,1703415054.744105,40.000000,0.000000,4325.384766,4240.128418,4331.538574,4263.717773,4230.641113,4145.384766,4213.846191,4238.461426,4224.102539,4203.846191,4567.820313,4495.512695,4390.384766,4521.922852,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.710859,0.182800,-0.633789,0.244080,1.005494,-0.043462,0.129410,-15.921894,-39.785408,66.772156
1703414855.185906,1703415054.751813,41.000000,0.000000,4313.461426,4231.666504,4324.230957,4259.358887,4230.512695,4141.794922,4212.948730,4231.153809,4215.769043,4193.077148,4550.128418,4474.230957,4374.230957,4505.000000,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.193714,1703415054.759621,42.000000,0.000000,4306.410156,4232.948730,4327.179688,4262.307617,4230.128418,4141.538574,4213.077148,4230.384766,4216.666504,4193.333496,4549.615234,4467.948730,4363.333496,4519.871582,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.201522,1703415054.767330,43.000000,0.000000,4292.563965,4233.205078,4325.769043,4259.358887,4228.974121,4141.025879,4214.358887,4239.102539,4224.743652,4200.512695,4557.563965,4473.077148,4367.307617,4528.589844,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.209330,1703415054.775238,44.000000,0.000000,4284.743652,4234.230957,4323.974121,4264.871582,4238.461426,4139.615234,4214.230957,4245.897461,4229.487305,4205.512695,4560.641113,4477.436035,4365.128418,4519.102539,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.710807,0.182922,-0.633789,0.244141,0.991332,-0.064949,0.114760,-15.879704,-39.840199,66.644936
1703414855.217138,1703415054.783046,45.000000,0.000000,4288.205078,4242.820313,4330.000000,4277.948730,4244.358887,4138.077148,4214.102539,4246.153809,4231.538574,4213.717773,4564.102539,4483.461426,4361.410156,4517.179688,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.224946,1703415054.790954,46.000000,0.000000,4290.512695,4248.974121,4332.948730,4278.205078,4244.743652,4136.410156,4216.538574,4244.871582,4236.666504,4219.102539,4569.615234,4486.410156,4370.000000,4521.538574,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.232755,1703415054.798762,47.000000,0.000000,4290.769043,4247.307617,4334.102539,4275.512695,4243.974121,4138.461426,4216.025879,4252.820313,4247.563965,4216.538574,4574.871582,4496.794922,4380.769043,4523.333496,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.240563,1703415054.806670,48.000000,0.000000,4293.205078,4249.615234,4343.589844,4286.153809,4237.820313,4139.615234,4214.871582,4260.769043,4252.948730,4221.025879,4584.615234,4514.358887,4383.461426,4526.282227,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.710793,0.183105,-0.633728,0.244202,0.984007,-0.057624,0.124527,-15.908401,-40.039513,66.630447
1703414855.248371,1703415054.814478,49.000000,0.000000,4292.948730,4252.948730,4344.487305,4291.794922,4239.615234,4134.230957,4216.794922,4256.153809,4251.922852,4225.769043,4590.512695,4509.743652,4381.282227,4523.846191,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.256179,1703415054.822387,50.000000,0.000000,4297.820313,4251.153809,4331.666504,4281.153809,4246.025879,4126.025879,4214.871582,4247.307617,4247.436035,4221.153809,4581.922852,4490.641113,4377.692383,4518.974121,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.263987,1703415054.830195,51.000000,0.000000,4320.256348,4251.922852,4330.384766,4277.179688,4240.512695,4121.922852,4209.102539,4240.512695,4235.769043,4213.846191,4571.153809,4487.692383,4375.128418,4524.743652,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.271795,1703415054.838103,52.000000,0.000000,4353.846191,4258.333496,4343.717773,4288.077148,4228.846191,4127.563965,4207.692383,4236.410156,4228.077148,4205.128418,4570.512695,4499.615234,4380.384766,4544.743652,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.710679,0.183289,-0.633850,0.244080,0.970822,-0.052252,0.125992,-16.034227,-40.068893,66.684067
1703414855.279603,1703415054.845911,53.000000,0.000000,4387.692383,4267.436035,4351.538574,4296.922852,4230.897461,4136.282227,4211.794922,4233.974121,4228.461426,4196.410156,4570.512695,4506.922852,4388.205078,4564.487305,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.287411,1703415054.853819,54.000000,0.000000,4409.102539,4275.897461,4351.666504,4296.153809,4243.333496,4140.000000,4215.641113,4233.974121,4227.948730,4192.436035,4567.692383,4504.615234,4387.051270,4571.666504,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.295219,1703415054.861627,55.000000,0.000000,4407.051270,4278.461426,4351.794922,4293.974121,4246.025879,4142.436035,4212.051270,4238.846191,4226.282227,4196.410156,4575.256348,4501.666504,4386.410156,4576.282227,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.303027,1703415054.869336,56.000000,0.000000,4392.051270,4271.922852,4351.153809,4295.128418,4236.282227,4137.692383,4204.615234,4245.769043,4229.102539,4207.948730,4584.615234,4512.179688,4392.948730,4574.102539,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.710840,0.183411,-0.633728,0.243835,0.976682,-0.041509,0.123062,-16.130804,-40.212006,66.598991
1703414855.310835,1703415054.877144,57.000000,0.000000,4381.794922,4266.922852,4349.358887,4297.948730,4233.589844,4127.307617,4205.256348,4248.333496,4239.615234,4220.512695,4586.538574,4525.512695,4392.692383,4563.333496,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.318643,1703415054.884852,58.000000,0.000000,4363.205078,4267.820313,4341.025879,4299.615234,4246.794922,4124.871582,4212.692383,4249.230957,4246.922852,4217.820313,4582.948730,4516.794922,4379.871582,4547.948730,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.326451,1703415054.892660,59.000000,0.000000,4335.000000,4266.922852,4332.179688,4304.358887,4248.717773,4122.307617,4217.307617,4250.384766,4239.615234,4207.948730,4576.794922,4501.153809,4368.974121,4530.897461,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.334259,1703415054.900369,60.000000,0.000000,4319.102539,4265.512695,4335.512695,4310.641113,4236.794922,4110.641113,4211.282227,4247.179688,4230.769043,4212.436035,4570.512695,4503.717773,4361.025879,4519.871582,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.710998,0.183594,-0.633545,0.243713,0.984007,-0.040532,0.133805,-15.917724,-40.074139,66.472427
1703414855.342067,1703415054.908177,61.000000,0.000000,4317.179688,4265.000000,4339.358887,4307.436035,4231.410156,4103.717773,4203.333496,4245.769043,4236.666504,4218.589844,4567.051270,4511.025879,4353.974121,4517.692383,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414855.349875,1703415054.915885,62.000000,0.000000,4307.179688,4263.717773,4335.512695,4300.769043,4238.846191,4105.256348,4207.948730,4255.000000,4249.230957,4215.897461,4575.384766,4509.487305,4359.871582,4521.794922,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
