title:مريان نعم, start timestamp:1703413392.813012, stop timestamp:1703413403.658394, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413392.813012,1703413392.813241,70.000000,0.000000,4197.948730,4232.051270,4280.128418,4310.897461,4233.205078,4232.692383,4271.025879,4245.256348,4215.769043,4204.102539,4509.743652,4453.461426,4326.282227,4412.051270,2984.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703413392.820820,1703413392.821149,71.000000,0.000000,4187.563965,4221.922852,4270.512695,4292.179688,4230.128418,4218.846191,4265.512695,4241.538574,4210.512695,4218.205078,4505.641113,4448.333496,4335.256348,4405.256348,4574.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.828628,1703413392.828957,72.000000,0.000000,4191.282227,4225.128418,4267.563965,4292.948730,4227.307617,4219.102539,4266.282227,4231.025879,4206.282227,4220.512695,4508.846191,4451.794922,4343.333496,4411.794922,4253.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.373070,0.623535,-0.272949,0.630493,0.977658,0.124039,0.081065,-18.718489,-33.508781,65.378113
1703413392.836437,1703413392.836865,73.000000,0.000000,4203.333496,4237.051270,4275.000000,4311.025879,4226.153809,4234.230957,4276.025879,4222.051270,4202.307617,4215.512695,4507.436035,4449.743652,4345.512695,4415.769043,5359.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.844245,1703413392.844673,74.000000,0.000000,4208.205078,4244.487305,4279.230957,4316.794922,4234.615234,4235.512695,4278.846191,4222.563965,4202.820313,4217.179688,4498.333496,4445.000000,4332.948730,4414.102539,5933.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.852053,1703413392.852581,75.000000,0.000000,4211.666504,4246.025879,4276.538574,4308.461426,4238.205078,4231.410156,4274.487305,4228.589844,4208.205078,4216.538574,4507.436035,4452.307617,4332.948730,4423.077148,6088.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.859861,1703413392.860389,76.000000,0.000000,4217.436035,4243.205078,4275.000000,4307.563965,4230.897461,4235.000000,4274.102539,4226.922852,4214.487305,4214.358887,4526.922852,4453.846191,4347.692383,4429.743652,6523.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.372862,0.623474,-0.272949,0.630676,0.982542,0.119155,0.068368,-18.596640,-33.424568,65.373634
1703413392.867669,1703413392.868297,77.000000,0.000000,4214.871582,4240.000000,4271.538574,4309.358887,4226.794922,4235.256348,4274.487305,4218.717773,4216.538574,4226.410156,4518.717773,4440.384766,4360.256348,4423.333496,6362.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.875477,1703413392.876105,78.000000,0.000000,4212.692383,4243.717773,4268.846191,4308.974121,4229.615234,4231.538574,4268.974121,4222.563965,4215.000000,4236.153809,4506.410156,4439.358887,4356.794922,4421.410156,5933.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413392.883285,1703413392.884013,79.000000,0.000000,4217.948730,4244.743652,4274.230957,4308.077148,4234.615234,4233.846191,4268.846191,4240.769043,4216.025879,4226.025879,4535.512695,4457.051270,4340.384766,4430.384766,6088.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
