title:ملاح نعم, start timestamp:1703495653.721733, stop timestamp:1703495664.582700, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1392      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495653.721733,1703495653.721941,13.000000,0.000000,4217.051270,4217.307617,4306.025879,4267.051270,4207.820313,4186.410156,4227.820313,4240.128418,4230.512695,4181.666504,4567.563965,4471.282227,4387.307617,4481.282227,5829.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.729541,1703495653.729849,14.000000,0.000000,4225.897461,4226.922852,4311.410156,4273.333496,4201.922852,4185.384766,4225.769043,4236.410156,4229.743652,4178.974121,4552.820313,4478.077148,4368.846191,4472.179688,6102.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.737349,1703495653.737657,15.000000,0.000000,4232.948730,4237.051270,4313.077148,4284.487305,4185.897461,4183.333496,4217.820313,4232.307617,4229.743652,4167.436035,4564.358887,4471.025879,4370.897461,4481.153809,6292.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.745157,1703495653.745565,16.000000,0.000000,4227.692383,4226.410156,4307.820313,4285.512695,4197.307617,4183.589844,4217.692383,4233.461426,4229.358887,4171.025879,4576.538574,4465.000000,4372.948730,4498.077148,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.644818,0.285278,-0.680969,0.197754,0.993774,0.081553,-0.014650,-17.443264,-38.230621,63.826874
1703495653.752965,1703495653.753372,17.000000,0.000000,4219.487305,4211.282227,4298.974121,4270.897461,4215.897461,4187.179688,4224.230957,4232.820313,4227.692383,4183.077148,4556.410156,4466.538574,4347.820313,4490.769043,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.760773,1703495653.761080,18.000000,0.000000,4216.025879,4208.205078,4291.153809,4260.897461,4199.487305,4188.333496,4222.051270,4237.563965,4229.871582,4186.153809,4555.128418,4460.769043,4343.461426,4476.410156,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.768581,1703495653.768888,19.000000,0.000000,4206.025879,4200.128418,4283.205078,4252.820313,4184.230957,4185.000000,4214.487305,4247.436035,4239.487305,4182.820313,4583.846191,4453.333496,4366.410156,4478.461426,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.776389,1703495653.776596,20.000000,0.000000,4194.615234,4185.512695,4282.692383,4236.538574,4201.794922,4182.948730,4215.897461,4247.563965,4242.820313,4191.922852,4585.128418,4463.333496,4367.948730,4470.769043,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.645012,0.285278,-0.680786,0.197754,0.999634,0.081065,-0.013185,-17.398937,-38.124226,63.894184
1703495653.784197,1703495653.784404,21.000000,0.000000,4192.179688,4188.077148,4283.077148,4238.077148,4203.717773,4183.589844,4217.820313,4243.717773,4235.512695,4204.358887,4570.256348,4466.538574,4357.820313,4457.820313,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495653.792005,1703495653.792111,22.000000,0.000000,4196.153809,4199.487305,4283.205078,4249.102539,4185.769043,4183.461426,4214.230957,4242.563965,4231.666504,4195.641113,4565.641113,4456.025879,4356.410156,4465.897461,0.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
