title:يمان نعم, start timestamp:1703416727.839187, stop timestamp:1703416738.747029, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1398      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703416727.839187,1703416727.839826,112.000000,0.000000,4270.384766,4221.922852,4283.717773,4331.025879,4234.615234,4234.743652,4233.717773,4240.769043,4193.974121,4199.615234,4531.282227,4505.512695,4353.846191,4433.717773,6982.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.665044,0.120422,-0.673462,0.299438,0.972287,-0.246612,0.052252,-10.724267,-51.505394,66.735001
1703416727.846995,1703416727.847735,113.000000,0.000000,4267.948730,4221.922852,4285.128418,4336.666504,4232.948730,4230.897461,4229.358887,4241.538574,4194.615234,4200.769043,4524.487305,4497.307617,4351.666504,4435.769043,7600.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.854803,1703416727.855543,114.000000,0.000000,4265.000000,4222.179688,4286.922852,4332.820313,4228.461426,4224.102539,4225.256348,4242.307617,4192.051270,4201.666504,4515.769043,4498.205078,4340.128418,4433.077148,6255.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.862611,1703416727.863451,115.000000,0.000000,4267.307617,4221.922852,4287.051270,4330.769043,4225.256348,4222.307617,4223.846191,4239.743652,4187.948730,4202.436035,4518.461426,4504.230957,4337.307617,4431.410156,6477.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.870419,1703416727.871259,116.000000,0.000000,4270.128418,4222.307617,4287.820313,4333.589844,4225.256348,4222.692383,4224.487305,4240.512695,4191.922852,4203.974121,4526.922852,4507.563965,4347.051270,4440.000000,6982.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.664888,0.120300,-0.673584,0.299561,0.956171,-0.244170,0.055183,-10.801841,-51.488186,66.778168
1703416727.878227,1703416727.879167,117.000000,0.000000,4273.461426,4230.000000,4292.948730,4338.205078,4226.794922,4220.256348,4226.666504,4238.717773,4194.487305,4198.333496,4527.563965,4507.563965,4351.153809,4443.205078,7600.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.886035,1703416727.886975,118.000000,0.000000,4279.615234,4235.897461,4297.436035,4336.794922,4231.025879,4220.769043,4228.717773,4240.000000,4198.333496,4206.282227,4535.897461,4517.179688,4358.205078,4446.666504,6255.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.893844,1703416727.894684,119.000000,0.000000,4277.051270,4225.897461,4291.282227,4321.282227,4224.615234,4217.179688,4222.179688,4238.589844,4196.282227,4218.846191,4538.461426,4519.615234,4358.589844,4450.256348,6477.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.901652,1703416727.902492,120.000000,0.000000,4276.025879,4225.512695,4290.897461,4317.820313,4220.384766,4218.589844,4222.179688,4231.666504,4194.487305,4211.282227,4535.000000,4512.563965,4355.256348,4450.769043,6982.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.664672,0.120239,-0.673645,0.299927,0.948846,-0.247100,0.052252,-10.771657,-51.572701,66.833687
1703416727.909459,1703416727.910200,121.000000,0.000000,4280.000000,4235.897461,4295.769043,4319.743652,4228.974121,4226.153809,4226.666504,4227.820313,4193.461426,4197.436035,4535.512695,4507.307617,4357.692383,4446.666504,7600.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.917268,1703416727.918008,122.000000,0.000000,4271.666504,4229.743652,4284.871582,4304.358887,4228.974121,4223.717773,4224.102539,4222.436035,4184.102539,4192.948730,4531.282227,4497.179688,4352.820313,4435.384766,6255.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.925076,1703416727.925717,123.000000,0.000000,4262.692383,4221.922852,4272.307617,4296.794922,4222.179688,4221.794922,4224.230957,4224.358887,4187.692383,4201.282227,4532.692383,4494.102539,4352.820313,4437.307617,6477.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.932884,1703416727.933525,124.000000,0.000000,4262.436035,4219.487305,4272.307617,4296.922852,4222.692383,4224.358887,4227.436035,4231.153809,4198.205078,4207.948730,4537.051270,4497.948730,4358.333496,4440.769043,6982.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.664617,0.120239,-0.673645,0.300049,0.959101,-0.263216,0.067879,-10.611157,-51.565430,66.766983
1703416727.940692,1703416727.941233,125.000000,0.000000,4262.307617,4218.846191,4278.717773,4290.641113,4227.051270,4226.153809,4228.589844,4237.307617,4197.307617,4206.025879,4537.307617,4498.205078,4358.589844,4432.179688,7600.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.948500,1703416727.949041,126.000000,0.000000,4260.769043,4222.307617,4281.025879,4287.820313,4228.461426,4228.077148,4230.128418,4242.179688,4197.563965,4207.948730,4538.717773,4495.641113,4356.922852,4432.563965,6255.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416727.956308,1703416727.956749,127.000000,0.000000,4254.358887,4217.692383,4271.538574,4287.563965,4230.256348,4223.077148,4227.179688,4235.128418,4198.846191,4208.717773,4531.025879,4486.538574,4348.589844,4435.256348,51.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
