title:الما نعم, start timestamp:1703404523.510286, stop timestamp:1703404534.324435, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404523.510286,1703404523.510933,54.000000,0.000000,4064.102539,4131.794922,4207.307617,4188.205078,4123.205078,4101.538574,4213.846191,4090.641113,4097.820313,4079.615479,4534.230957,4375.000000,4306.282227,4437.307617,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.518094,1703404523.518841,55.000000,0.000000,4069.871826,4138.974121,4221.025879,4193.717773,4123.846191,4108.077148,4219.230957,4110.512695,4153.461426,4111.794922,4541.538574,4393.205078,4318.077148,4448.205078,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.525902,1703404523.526649,56.000000,0.000000,4085.384521,4145.000000,4237.307617,4205.512695,4125.512695,4107.307617,4215.769043,4125.256348,4140.128418,4115.000000,4560.384766,4409.871582,4330.512695,4464.615234,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.619759,-0.411255,-0.591309,-0.311646,0.995727,-0.151386,-0.015627,-12.384922,-43.459850,65.084824
1703404523.533710,1703404523.534357,57.000000,0.000000,4093.846191,4151.922852,4236.538574,4213.589844,4140.000000,4097.948730,4217.820313,4127.051270,4106.794922,4104.230957,4565.897461,4411.282227,4325.769043,4468.205078,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.541518,1703404523.542165,58.000000,0.000000,4103.974121,4160.769043,4241.794922,4220.000000,4148.077148,4092.564209,4221.666504,4123.333496,4096.410156,4133.333496,4569.358887,4418.846191,4333.846191,4475.256348,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.549326,1703404523.549873,59.000000,0.000000,4108.333496,4159.230957,4244.487305,4216.538574,4130.000000,4091.923096,4213.717773,4114.871582,4074.230713,4120.256348,4570.769043,4423.077148,4345.769043,4478.974121,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.557134,1703404523.557681,60.000000,0.000000,4107.692383,4147.436035,4241.538574,4205.128418,4109.487305,4092.948730,4206.538574,4098.974121,4076.794922,4083.076904,4564.743652,4415.769043,4339.871582,4477.051270,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.619579,-0.411438,-0.591370,-0.311646,0.971798,-0.148456,-0.000488,-12.363097,-43.547199,65.109680
1703404523.564942,1703404523.565389,61.000000,0.000000,4113.077148,4141.794922,4247.692383,4203.333496,4112.307617,4090.384521,4207.948730,4091.281982,4093.718018,4119.230957,4570.128418,4416.794922,4335.128418,4479.102539,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.572750,1703404523.573197,62.000000,0.000000,4107.307617,4139.743652,4242.563965,4206.025879,4125.384766,4088.589844,4205.769043,4090.128174,4069.358887,4159.230957,4577.692383,4415.128418,4333.846191,4475.256348,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.580558,1703404523.580905,63.000000,0.000000,4091.923096,4132.436035,4226.153809,4200.897461,4127.563965,4090.769287,4198.205078,4082.948730,4059.871826,4123.461426,4557.051270,4398.333496,4320.256348,4458.077148,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404523.588366,1703404523.588713,64.000000,0.000000,4092.051270,4133.205078,4223.461426,4200.512695,4123.333496,4094.615479,4197.436035,4082.179443,4097.692383,4088.333252,4533.589844,4390.256348,4304.358887,4444.871582,4619.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.619258,-0.411255,-0.591736,-0.311829,0.991332,-0.147967,-0.003907,-12.410120,-43.525810,65.032043
