title:حازم نعم, start timestamp:1703494939.705718, stop timestamp:1703494950.465217, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494939.705718,1703494939.705987,27.000000,0.000000,4216.794922,4221.282227,4273.974121,4253.333496,4231.153809,4235.128418,4251.922852,4233.589844,4219.871582,4200.897461,4488.333496,4436.282227,4322.692383,4400.256348,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.713526,1703494939.713895,28.000000,0.000000,4209.487305,4216.666504,4270.641113,4253.077148,4220.897461,4235.256348,4259.871582,4240.128418,4231.666504,4204.102539,4491.153809,4431.153809,4325.897461,4397.692383,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.735665,-0.063110,-0.671570,0.061707,0.961543,-0.184105,0.084483,-14.138164,-44.834538,64.761375
1703494939.721334,1703494939.721703,29.000000,0.000000,4213.461426,4226.025879,4275.128418,4263.205078,4219.743652,4235.641113,4259.615234,4251.794922,4241.538574,4206.538574,4493.717773,4432.692383,4327.820313,4399.230957,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.729142,1703494939.729611,30.000000,0.000000,4215.897461,4227.820313,4273.077148,4268.205078,4227.563965,4235.897461,4255.897461,4250.512695,4234.743652,4203.461426,4490.384766,4431.794922,4326.794922,4393.846191,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703494939.736951,1703494939.737419,31.000000,0.000000,4211.538574,4221.410156,4269.871582,4303.717773,4232.563965,4233.333496,4257.436035,4234.230957,4218.461426,4201.538574,4486.794922,4423.333496,4325.256348,4387.692383,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.744758,1703494939.745327,32.000000,0.000000,4211.282227,4224.743652,4271.922852,4386.282227,4232.820313,4229.358887,4252.563965,4221.666504,4206.922852,4200.256348,4481.666504,4419.230957,4319.358887,4385.384766,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.735726,-0.063232,-0.671509,0.061523,0.982542,-0.177756,0.082530,-13.991014,-44.834415,64.651901
1703494939.752566,1703494939.753135,33.000000,0.000000,4215.897461,4234.743652,4275.641113,4456.666504,4232.307617,4229.358887,4246.538574,4215.256348,4197.051270,4193.717773,4477.692383,4419.871582,4317.307617,4385.000000,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.760375,1703494939.761042,34.000000,0.000000,4219.358887,4238.205078,4277.563965,4469.102539,4231.538574,4229.487305,4247.820313,4206.410156,4189.487305,4190.641113,4477.436035,4418.077148,4321.153809,4384.743652,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.768183,1703494939.768850,35.000000,0.000000,4224.358887,4235.384766,4277.307617,4459.487305,4230.897461,4227.692383,4246.794922,4203.846191,4191.153809,4197.692383,4481.153809,4418.717773,4326.410156,4389.615234,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.775991,1703494939.776558,36.000000,0.000000,4229.615234,4234.102539,4277.692383,4463.717773,4230.641113,4230.128418,4250.000000,4211.410156,4198.717773,4203.717773,4488.589844,4425.641113,4329.487305,4400.000000,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.735797,-0.063232,-0.671448,0.061340,0.977658,-0.181663,0.096691,-13.675246,-44.917641,64.603378
1703494939.783799,1703494939.784366,37.000000,0.000000,4235.256348,4240.128418,4283.589844,4467.179688,4231.410156,4235.512695,4262.307617,4215.384766,4199.102539,4199.743652,4493.589844,4435.256348,4334.615234,4412.820313,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.791607,1703494939.792074,38.000000,0.000000,4242.051270,4248.333496,4286.794922,4462.307617,4230.128418,4237.051270,4266.410156,4220.384766,4197.563965,4197.179688,4499.102539,4442.563965,4344.615234,4423.077148,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.799415,1703494939.799882,39.000000,0.000000,4241.282227,4242.948730,4286.025879,4454.871582,4220.512695,4234.615234,4262.307617,4238.589844,4213.846191,4209.230957,4507.820313,4447.692383,4348.589844,4422.436035,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.807223,1703494939.807591,40.000000,0.000000,4231.666504,4232.307617,4281.025879,4445.128418,4216.666504,4230.641113,4262.051270,4248.717773,4228.589844,4215.000000,4507.563965,4445.897461,4343.333496,4415.512695,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.735833,-0.062988,-0.671448,0.061157,0.969357,-0.169454,0.088878,-13.724388,-44.759209,64.659706
1703494939.815031,1703494939.815399,41.000000,0.000000,4231.538574,4234.743652,4276.025879,4441.794922,4223.589844,4228.205078,4261.794922,4243.717773,4225.256348,4204.102539,4496.538574,4439.871582,4340.512695,4415.128418,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.822839,1703494939.823107,42.000000,0.000000,4235.384766,4237.179688,4277.436035,4443.974121,4222.051270,4229.615234,4253.589844,4242.692383,4221.025879,4206.025879,4492.692383,4435.641113,4342.179688,4413.333496,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.830647,1703494939.830915,43.000000,0.000000,4233.974121,4237.692383,4279.743652,4442.820313,4215.384766,4231.538574,4247.051270,4242.307617,4223.077148,4216.922852,4501.153809,4434.487305,4346.410156,4411.282227,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.838455,1703494939.838623,44.000000,0.000000,4240.769043,4245.641113,4280.000000,4440.769043,4219.743652,4231.794922,4251.282227,4229.358887,4218.717773,4208.077148,4503.846191,4433.589844,4352.051270,4418.077148,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.735925,-0.062744,-0.671387,0.060974,0.978147,-0.185081,0.077646,-13.785283,-44.799957,64.610405
1703494939.846263,1703494939.846431,45.000000,0.000000,4249.743652,4251.025879,4282.051270,4441.410156,4224.358887,4232.820313,4254.487305,4221.410156,4212.179688,4203.846191,4501.025879,4433.333496,4357.948730,4427.307617,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.854071,1703494939.854139,46.000000,0.000000,4251.153809,4250.256348,4284.102539,4436.922852,4221.922852,4233.589844,4251.282227,4227.179688,4214.230957,4213.461426,4503.846191,4440.512695,4358.461426,4429.743652,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.861879,1703494939.861947,47.000000,0.000000,4252.307617,4244.743652,4282.948730,4428.846191,4222.307617,4232.051270,4248.333496,4226.282227,4213.717773,4207.436035,4506.153809,4443.717773,4354.743652,4428.205078,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494939.869687,1703494939.869655,48.000000,0.000000,4252.179688,4236.922852,4286.153809,4426.794922,4226.538574,4229.487305,4250.000000,4221.282227,4213.205078,4198.461426,4502.692383,4439.615234,4351.922852,4428.205078,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.736183,-0.062500,-0.671143,0.060791,0.974728,-0.186546,0.080576,-13.856754,-44.769962,64.699364
1703494939.877495,1703494939.877563,49.000000,0.000000,4248.589844,4233.589844,4289.615234,4429.487305,4229.743652,4228.717773,4251.922852,4227.948730,4213.717773,4205.000000,4503.205078,4441.922852,4349.102539,4426.794922,0.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
