title:حلاق نعم, start timestamp:1703152949.396362, stop timestamp:1703152960.226116, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1388      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703152949.396362,1703152949.397155,46.000000,0.000000,4247.307617,4187.436035,4273.461426,4261.666504,4185.256348,4203.717773,4312.307617,4202.307617,4208.333496,4170.897461,4481.282227,4450.769043,4303.205078,4436.410156,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.404170,1703152949.405063,47.000000,0.000000,4248.717773,4180.641113,4271.153809,4259.358887,4190.384766,4195.384766,4311.794922,4196.282227,4198.461426,4171.922852,4478.333496,4449.871582,4288.461426,4418.077148,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.411978,1703152949.412871,48.000000,0.000000,4240.256348,4175.641113,4261.025879,4255.641113,4189.358887,4192.051270,4314.615234,4187.436035,4189.358887,4164.487305,4466.282227,4438.461426,4272.051270,4401.153809,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,12.000000,0.000000,0.629696,0.426575,-0.502380,0.411255,0.983030,0.131364,0.133317,-17.640373,-29.957100,66.693405
1703152949.419786,1703152949.420579,49.000000,0.000000,4234.102539,4176.282227,4263.846191,4257.179688,4172.692383,4201.410156,4316.538574,4187.436035,4195.512695,4159.358887,4471.025879,4437.820313,4272.692383,4426.025879,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.427594,1703152949.428387,50.000000,0.000000,4228.846191,4177.307617,4268.333496,4253.333496,4170.897461,4203.589844,4314.102539,4187.692383,4197.563965,4153.205078,4471.410156,4444.102539,4278.077148,4430.256348,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.435402,1703152949.436095,51.000000,0.000000,4213.077148,4172.051270,4260.769043,4247.051270,4185.897461,4198.974121,4312.820313,4184.102539,4186.025879,4145.641113,4451.922852,4433.846191,4269.230957,4400.641113,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.443210,1703152949.443903,52.000000,0.000000,4202.692383,4167.307617,4253.461426,4246.282227,4182.948730,4200.256348,4312.692383,4181.794922,4182.948730,4153.589844,4447.307617,4420.128418,4261.282227,4396.153809,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,13.000000,0.000000,0.629825,0.426575,-0.502319,0.411133,0.981565,0.124527,0.131364,-17.809669,-29.911388,66.574066
1703152949.451018,1703152949.451611,53.000000,0.000000,4201.025879,4169.487305,4253.205078,4246.410156,4168.717773,4196.153809,4314.487305,4185.512695,4191.666504,4163.461426,4456.025879,4425.128418,4261.922852,4407.436035,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.458826,1703152949.459419,54.000000,0.000000,4183.461426,4168.333496,4250.384766,4245.641113,4176.410156,4183.205078,4314.743652,4187.563965,4188.589844,4156.794922,4454.487305,4422.179688,4256.666504,4398.846191,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152949.466634,1703152949.467127,55.000000,0.000000,4165.128418,4165.641113,4246.538574,4248.205078,4183.205078,4180.128418,4310.000000,4186.410156,4181.666504,4148.974121,4454.102539,4407.563965,4254.871582,4390.000000,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
