title:حمزة نعم, start timestamp:1703409374.493485, stop timestamp:1703409385.292004, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703409374.493485,1703409374.494082,64.000000,0.000000,4224.230957,4178.461426,4294.615234,4263.974121,4198.333496,4185.128418,4182.948730,4191.538574,4174.487305,4169.615234,4537.307617,4266.282227,4373.205078,4488.461426,5402.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.499208,0.333862,-0.658875,0.453003,0.946893,-0.272006,-0.035161,-8.967005,-47.540466,61.425541
1703409374.501293,1703409374.501990,65.000000,0.000000,4228.333496,4185.128418,4294.102539,4262.692383,4193.589844,4186.666504,4183.589844,4198.461426,4178.333496,4168.717773,4538.717773,4270.128418,4375.897461,4488.205078,5275.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.509101,1703409374.509798,66.000000,0.000000,4228.589844,4188.846191,4297.820313,4264.487305,4202.436035,4194.102539,4187.436035,4202.051270,4183.589844,4173.205078,4542.948730,4280.769043,4383.589844,4493.974121,5166.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.516909,1703409374.517705,67.000000,0.000000,4219.230957,4187.436035,4298.077148,4269.743652,4200.769043,4195.384766,4187.820313,4200.256348,4185.641113,4177.436035,4541.282227,4283.589844,4381.282227,4495.000000,5280.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.524717,1703409374.525513,68.000000,0.000000,4215.512695,4185.512695,4292.692383,4268.077148,4184.615234,4188.717773,4183.846191,4198.589844,4183.461426,4182.307617,4538.461426,4275.641113,4379.743652,4490.641113,4968.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,17.000000,0.000000,0.499393,0.333984,-0.658630,0.453064,0.951776,-0.275424,-0.043462,-8.870304,-47.503086,61.466320
1703409374.532525,1703409374.533421,69.000000,0.000000,4226.410156,4189.102539,4294.615234,4265.641113,4192.307617,4185.769043,4185.000000,4197.563965,4181.153809,4178.333496,4541.153809,4271.025879,4385.000000,4493.333496,4714.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.540334,1703409374.541229,70.000000,0.000000,4217.051270,4184.102539,4296.666504,4264.615234,4205.769043,4187.051270,4186.922852,4197.051270,4181.666504,4173.077148,4538.717773,4266.282227,4381.410156,4491.282227,3921.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.548142,1703409374.548937,71.000000,0.000000,4195.000000,4169.102539,4285.000000,4259.102539,4193.717773,4186.538574,4184.358887,4198.205078,4182.692383,4172.051270,4527.563965,4260.256348,4372.307617,4477.563965,5210.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409374.555950,1703409374.556745,72.000000,0.000000,4205.384766,4172.179688,4276.794922,4260.641113,4183.846191,4184.487305,4183.461426,4200.256348,4184.743652,4170.000000,4528.846191,4260.384766,4369.102539,4474.871582,4792.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.499457,0.334167,-0.658447,0.453125,0.940544,-0.266634,-0.038091,-8.866607,-47.419445,61.503021
1703409374.563758,1703409374.564453,73.000000,0.000000,4221.153809,4186.666504,4285.000000,4268.077148,4190.256348,4182.436035,4184.487305,4200.641113,4186.025879,4167.692383,4540.769043,4263.077148,4373.461426,4487.436035,5050.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
