title:Aya يسار, start timestamp:1702803039.955627, stop timestamp:1702803051.987877, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1542      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1702803039.955627,1702803040.308106,8.000000,0.000000,4193.846191,4156.794922,4288.846191,4302.692383,4135.512695,4088.333252,4225.256348,4137.051270,4132.179688,4143.589844,4648.717773,4460.512695,4406.538574,4547.051270,5046.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.702200,0.155640,-0.667664,0.192139,0.995727,-0.030277,0.060066,-8.150781,13.117517,97.036674
1702803039.963435,1702803040.316014,9.000000,0.000000,4185.769043,4151.153809,4277.179688,4289.358887,4134.871582,4094.615479,4226.153809,4132.179688,4124.743652,4134.102539,4644.230957,4452.692383,4401.153809,4538.846191,5222.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803039.971243,1702803040.323822,10.000000,0.000000,4185.128418,4152.948730,4278.974121,4287.436035,4134.615234,4105.256348,4232.563965,4131.666504,4117.692383,4131.410156,4646.282227,4447.179688,4398.333496,4533.205078,5823.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803039.979051,1702803040.331531,11.000000,0.000000,4184.230957,4150.897461,4280.769043,4292.436035,4136.922852,4108.333496,4229.743652,4128.333496,4115.897461,4131.666504,4641.282227,4444.615234,4395.384766,4531.410156,5888.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803039.986859,1702803040.339339,12.000000,0.000000,4178.974121,4141.538574,4271.282227,4286.410156,4137.436035,4105.128418,4224.358887,4118.333496,4111.538574,4116.922852,4623.717773,4435.897461,4381.153809,4523.717773,6770.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.702243,0.155518,-0.667664,0.192078,0.985960,-0.039067,0.070321,-8.035703,13.189098,97.216339
1702803039.994667,1702803040.347047,13.000000,0.000000,4178.077148,4139.230957,4267.307617,4280.897461,4127.179688,4111.153809,4228.461426,4113.974121,4108.461426,4116.922852,4620.384766,4431.410156,4379.230957,4519.487305,6843.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803040.002475,1702803040.354955,14.000000,0.000000,4174.871582,4136.666504,4265.000000,4278.333496,4122.692383,4115.000000,4231.282227,4115.769043,4105.128418,4126.922852,4622.820313,4428.589844,4385.384766,4517.436035,5823.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803040.010284,1702803040.362764,15.000000,0.000000,4170.256348,4136.538574,4261.922852,4274.871582,4132.563965,4110.256348,4230.128418,4120.897461,4105.256348,4119.743652,4618.846191,4432.051270,4384.102539,4514.230957,5888.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803040.018092,1702803040.370672,16.000000,0.000000,4175.512695,4143.589844,4265.769043,4272.051270,4137.948730,4105.256348,4230.128418,4128.205078,4114.487305,4120.641113,4621.282227,4444.102539,4388.205078,4519.102539,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.702279,0.155579,-0.667542,0.192322,0.993774,-0.044927,0.062019,-7.932133,13.336855,97.344704
1702803040.025900,1702803040.378481,17.000000,0.000000,4190.256348,4151.666504,4282.307617,4281.153809,4137.563965,4103.461426,4231.282227,4137.820313,4133.461426,4147.307617,4643.077148,4457.436035,4407.948730,4535.256348,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
