title:فارس يسار, start timestamp:1703504353.601280, stop timestamp:1703504364.321719, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1374      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504353.601280,1703504353.601721,85.000000,0.000000,4360.897461,4282.820313,4346.922852,4358.717773,4294.487305,4287.948730,4304.230957,4291.025879,4258.589844,4264.102539,4522.307617,4504.230957,4456.922852,4469.230957,7075.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.609089,1703504353.609629,86.000000,0.000000,4358.205078,4280.384766,4349.230957,4363.974121,4296.282227,4281.025879,4307.692383,4293.461426,4259.871582,4266.922852,4513.846191,4499.615234,4450.769043,4462.436035,6115.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.616897,1703504353.617437,87.000000,0.000000,4347.307617,4277.820313,4347.307617,4361.666504,4289.615234,4278.333496,4296.666504,4292.948730,4255.641113,4261.538574,4505.641113,4494.358887,4442.948730,4455.384766,6407.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.624704,1703504353.625345,88.000000,0.000000,4346.282227,4276.410156,4340.256348,4356.153809,4282.051270,4279.615234,4293.974121,4283.846191,4247.692383,4250.512695,4503.205078,4490.641113,4443.846191,4453.333496,6907.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.720601,-0.192505,-0.666077,0.004211,0.943475,-0.269564,0.014650,-10.528790,-42.756039,60.110672
1703504353.632512,1703504353.633253,89.000000,0.000000,4342.948730,4271.666504,4332.307617,4352.179688,4280.769043,4276.794922,4298.589844,4277.436035,4259.615234,4249.871582,4502.436035,4482.563965,4444.743652,4448.461426,7075.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.640321,1703504353.641061,90.000000,0.000000,4330.769043,4269.487305,4329.615234,4350.384766,4280.769043,4277.692383,4297.563965,4283.461426,4281.025879,4256.666504,4504.102539,4477.563965,4442.563965,4441.922852,6115.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.648129,1703504353.648869,91.000000,0.000000,4328.717773,4274.102539,4330.384766,4343.589844,4282.563965,4279.615234,4295.128418,4284.743652,4284.358887,4251.025879,4499.230957,4475.769043,4441.538574,4435.384766,6407.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.655937,1703504353.656677,92.000000,0.000000,4335.897461,4278.333496,4324.871582,4341.153809,4290.384766,4277.563965,4296.282227,4278.717773,4284.230957,4243.589844,4496.666504,4472.692383,4450.641113,4440.384766,6907.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.720184,-0.192810,-0.666443,0.003662,0.943963,-0.269076,0.030765,-10.625911,-42.563770,60.066269
1703504353.663745,1703504353.664485,93.000000,0.000000,4335.256348,4276.282227,4324.615234,4355.641113,4293.333496,4276.922852,4298.205078,4280.512695,4293.589844,4247.436035,4505.897461,4476.794922,4457.948730,4448.333496,7075.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504353.671553,1703504353.672193,94.000000,0.000000,4339.487305,4281.794922,4333.333496,4371.282227,4293.717773,4281.922852,4300.256348,4289.743652,4297.436035,4259.871582,4517.820313,4490.641113,4464.615234,4456.538574,6115.000000,3.000000,60.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
