title:فاكهاني يسار, start timestamp:1703489570.443223, stop timestamp:1703489581.226129, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703489570.443223,1703489570.443923,103.000000,0.000000,4308.846191,4248.077148,4341.153809,4314.358887,4233.077148,4272.179688,4266.025879,4250.384766,4307.948730,4217.051270,4589.230957,4487.051270,4453.589844,4544.487305,6118.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.451031,1703489570.451631,104.000000,0.000000,4303.333496,4239.615234,4344.615234,4311.410156,4229.487305,4273.077148,4262.692383,4247.179688,4296.538574,4214.102539,4590.256348,4484.871582,4455.128418,4550.256348,6641.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.733232,-0.091492,-0.673767,-0.006104,0.985472,-0.134782,0.066414,-15.555493,-42.094601,64.843231
1703489570.458840,1703489570.459539,105.000000,0.000000,4293.333496,4234.743652,4335.128418,4306.025879,4228.461426,4266.410156,4261.153809,4236.282227,4290.128418,4199.358887,4576.666504,4475.769043,4433.333496,4531.794922,4557.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.466648,1703489570.467347,106.000000,0.000000,4299.615234,4244.358887,4329.871582,4304.615234,4228.589844,4265.128418,4261.538574,4230.000000,4293.461426,4193.974121,4564.743652,4470.128418,4432.051270,4521.025879,5895.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.474455,1703489570.475156,107.000000,0.000000,4297.307617,4241.922852,4333.717773,4309.615234,4230.000000,4270.384766,4263.205078,4241.410156,4305.641113,4211.666504,4575.769043,4475.512695,4445.384766,4524.230957,6118.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.482263,1703489570.482863,108.000000,0.000000,4282.307617,4230.769043,4328.333496,4309.487305,4229.615234,4267.051270,4262.307617,4251.538574,4319.358887,4223.974121,4585.769043,4477.051270,4445.897461,4525.897461,6641.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.733279,-0.091553,-0.673706,-0.006287,0.986937,-0.122085,0.070321,-15.566610,-42.035141,64.892242
1703489570.490072,1703489570.490671,109.000000,0.000000,4284.871582,4230.512695,4320.897461,4300.384766,4227.051270,4261.282227,4258.717773,4247.051270,4321.922852,4216.538574,4575.641113,4474.102539,4440.384766,4534.102539,4557.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.497880,1703489570.498378,110.000000,0.000000,4299.487305,4232.820313,4325.641113,4298.846191,4229.358887,4268.333496,4260.000000,4246.282227,4319.102539,4216.794922,4570.641113,4476.794922,4440.512695,4537.179688,5895.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.505688,1703489570.506186,111.000000,0.000000,4303.077148,4236.282227,4327.051270,4309.871582,4230.769043,4272.692383,4263.461426,4249.102539,4317.820313,4222.307617,4573.974121,4474.230957,4437.563965,4526.282227,6118.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489570.513496,1703489570.513893,112.000000,0.000000,4299.102539,4245.384766,4322.179688,4315.000000,4230.512695,4268.846191,4263.333496,4242.307617,4308.589844,4213.333496,4568.717773,4468.205078,4436.410156,4521.282227,6641.000000,4.000000,95.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.733166,-0.091553,-0.673828,-0.006409,0.982053,-0.116225,0.063484,-15.559950,-42.198292,64.836357
