title:ليال يسار, start timestamp:1703407564.672598, stop timestamp:1703407575.549194, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1394      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407564.672598,1703407564.673296,95.000000,0.000000,4192.436035,4144.615234,4261.794922,4219.615234,4142.948730,4128.077148,4140.256348,4263.717773,4131.153809,4123.077148,4617.436035,4471.025879,4345.000000,4522.563965,6035.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.680407,1703407564.681004,96.000000,0.000000,4196.153809,4146.666504,4261.153809,4221.666504,4132.307617,4122.563965,4136.666504,4252.563965,4123.589844,4127.436035,4617.307617,4473.974121,4344.102539,4525.512695,6583.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.709439,-0.134399,-0.686157,-0.088440,0.999145,-0.086925,0.068368,-15.011744,-41.182644,65.454254
1703407564.688215,1703407564.688812,97.000000,0.000000,4195.000000,4135.769043,4260.128418,4219.487305,4137.948730,4122.307617,4135.000000,4249.487305,4123.077148,4134.358887,4614.102539,4472.179688,4348.205078,4527.307617,7177.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.696023,1703407564.696520,98.000000,0.000000,4201.282227,4141.538574,4269.102539,4225.128418,4154.487305,4121.282227,4138.077148,4262.563965,4117.692383,4132.948730,4627.179688,4484.487305,4362.948730,4536.922852,5916.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.703831,1703407564.704328,99.000000,0.000000,4204.871582,4151.922852,4275.512695,4231.153809,4135.512695,4117.179688,4136.025879,4267.563965,4123.205078,4134.487305,4638.846191,4496.153809,4367.563965,4543.461426,6035.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.711639,1703407564.712035,100.000000,0.000000,4196.538574,4144.615234,4262.563965,4227.307617,4114.230957,4121.538574,4132.307617,4260.641113,4142.436035,4137.179688,4631.282227,4485.384766,4357.179688,4535.641113,6583.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.709508,-0.134155,-0.686157,-0.088257,0.984495,-0.082041,0.062508,-15.010571,-41.264378,65.425491
1703407564.719447,1703407564.719843,101.000000,0.000000,4200.641113,4148.846191,4259.871582,4231.025879,4141.025879,4127.563965,4138.077148,4268.974121,4142.948730,4135.897461,4630.256348,4483.589844,4357.307617,4535.897461,7177.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.727255,1703407564.727551,102.000000,0.000000,4208.205078,4159.358887,4269.871582,4234.102539,4171.282227,4125.641113,4143.333496,4275.384766,4128.205078,4136.025879,4634.615234,4490.384766,4363.461426,4538.333496,5916.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.735063,1703407564.735359,103.000000,0.000000,4196.153809,4148.205078,4262.051270,4222.692383,4176.922852,4125.897461,4138.974121,4256.794922,4133.077148,4141.666504,4623.589844,4481.025879,4359.358887,4523.717773,6035.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407564.742871,1703407564.743066,104.000000,0.000000,4188.589844,4139.487305,4254.102539,4217.820313,4152.307617,4127.692383,4134.358887,4244.358887,4137.436035,4135.641113,4611.153809,4472.051270,4349.487305,4511.922852,6583.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.709466,-0.133911,-0.686279,-0.088013,0.977658,-0.097668,0.062508,-14.992846,-41.237942,65.382942
1703407564.750679,1703407564.750975,105.000000,0.000000,4205.384766,4152.948730,4269.358887,4230.384766,4102.820313,4120.897461,4133.846191,4252.820313,4129.487305,4129.358887,4619.871582,4484.102539,4355.641113,4527.051270,7177.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
