title:مضر يسار, start timestamp:1703402288.734940, stop timestamp:1703402299.564716, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1388      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402288.734940,1703402288.735212,33.000000,0.000000,4197.692383,4168.846191,4260.512695,4234.743652,4179.871582,4177.179688,4214.230957,4148.589844,4144.102539,4137.563965,4537.563965,4437.692383,4328.333496,4427.307617,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.742748,1703402288.743120,34.000000,0.000000,4202.179688,4166.794922,4265.256348,4235.384766,4173.333496,4179.615234,4207.563965,4151.922852,4151.794922,4133.077148,4538.461426,4440.897461,4327.051270,4430.384766,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.750557,1703402288.750928,35.000000,0.000000,4198.461426,4169.358887,4265.384766,4239.487305,4174.615234,4176.538574,4199.871582,4154.743652,4145.897461,4133.717773,4538.077148,4444.871582,4326.666504,4431.922852,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.758365,1703402288.758836,36.000000,0.000000,4198.077148,4170.512695,4267.692383,4243.205078,4172.436035,4167.179688,4201.282227,4148.974121,4137.051270,4137.307617,4533.461426,4447.307617,4331.282227,4435.256348,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.686681,-0.081726,-0.694336,0.199219,0.905872,-0.381883,0.015627,-30.931065,-7.422693,77.132950
1703402288.766173,1703402288.766644,37.000000,0.000000,4201.025879,4174.230957,4277.179688,4244.743652,4175.769043,4167.051270,4204.743652,4151.282227,4145.769043,4143.461426,4540.897461,4454.102539,4344.358887,4444.487305,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.773981,1703402288.774352,38.000000,0.000000,4210.128418,4185.384766,4282.820313,4248.589844,4179.487305,4172.051270,4202.948730,4164.230957,4157.563965,4147.563965,4555.641113,4460.769043,4353.846191,4453.333496,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.781789,1703402288.782160,39.000000,0.000000,4220.897461,4186.153809,4278.717773,4248.333496,4168.974121,4166.410156,4201.794922,4173.205078,4162.307617,4152.820313,4554.743652,4461.666504,4352.948730,4456.538574,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.789597,1703402288.789867,40.000000,0.000000,4211.794922,4173.461426,4272.820313,4238.077148,4169.615234,4158.974121,4202.563965,4174.615234,4166.282227,4157.179688,4544.102539,4460.769043,4347.692383,4448.205078,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.686619,-0.081726,-0.694397,0.199219,0.904896,-0.402881,0.022464,-30.921291,-7.230423,77.302994
1703402288.797405,1703402288.797675,41.000000,0.000000,4194.487305,4171.538574,4273.205078,4236.025879,4178.589844,4163.589844,4203.333496,4172.820313,4165.641113,4157.051270,4544.615234,4462.692383,4351.666504,4440.000000,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402288.805213,1703402288.805383,42.000000,0.000000,4202.948730,4183.333496,4276.794922,4247.307617,4178.717773,4172.692383,4202.948730,4172.820313,4166.538574,4166.153809,4557.179688,4464.615234,4365.128418,4453.589844,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
