title:منى يسار 2, start timestamp:1703412067.264016, stop timestamp:1703412078.078168, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703412067.264016,1703412067.264243,113.000000,0.000000,4245.384766,4214.743652,4314.615234,4280.641113,4208.717773,4182.563965,4237.563965,4204.615234,4197.948730,4191.282227,4598.717773,4506.025879,4421.282227,4514.743652,6982.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.271824,1703412067.272151,114.000000,0.000000,4247.051270,4220.256348,4317.179688,4282.436035,4220.256348,4182.948730,4237.179688,4219.102539,4211.153809,4235.256348,4610.000000,4508.333496,4432.692383,4542.436035,5963.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.279632,1703412067.279959,115.000000,0.000000,4257.563965,4222.436035,4320.256348,4277.692383,4215.256348,4179.358887,4238.974121,4218.333496,4199.615234,4203.846191,4606.538574,4510.128418,4434.358887,4549.358887,6127.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.287440,1703412067.287866,116.000000,0.000000,4264.102539,4232.051270,4325.769043,4280.000000,4215.512695,4176.538574,4240.128418,4214.230957,4183.974121,4153.205078,4599.615234,4507.307617,4428.077148,4536.922852,6624.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.732533,-0.073792,-0.673828,-0.062500,0.989379,-0.009767,0.081065,-16.202042,-38.753105,65.564140
1703412067.295248,1703412067.295674,117.000000,0.000000,4264.871582,4233.846191,4331.666504,4285.384766,4222.051270,4175.256348,4238.589844,4214.871582,4189.615234,4174.871582,4598.589844,4516.282227,4430.384766,4526.922852,6982.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.303057,1703412067.303582,118.000000,0.000000,4263.333496,4221.538574,4326.922852,4282.307617,4215.128418,4175.897461,4235.000000,4207.179688,4191.794922,4209.358887,4598.846191,4520.512695,4430.128418,4526.410156,5963.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.310865,1703412067.311390,119.000000,0.000000,4265.000000,4213.974121,4316.025879,4274.102539,4208.077148,4181.922852,4235.512695,4201.922852,4192.563965,4199.358887,4603.974121,4501.794922,4426.282227,4546.410156,6127.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.318673,1703412067.319298,120.000000,0.000000,4265.256348,4215.512695,4313.974121,4271.153809,4214.871582,4184.102539,4235.000000,4205.384766,4202.307617,4195.512695,4612.692383,4495.128418,4429.615234,4560.000000,6624.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.732431,-0.073181,-0.674011,-0.062439,0.997680,-0.022464,0.076670,-16.098505,-38.677795,65.541061
1703412067.326481,1703412067.327106,121.000000,0.000000,4262.820313,4215.897461,4316.153809,4272.051270,4221.666504,4182.948730,4232.563965,4202.948730,4201.153809,4192.563965,4616.025879,4514.615234,4436.282227,4547.563965,6982.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.334289,1703412067.334814,122.000000,0.000000,4265.641113,4218.589844,4316.282227,4272.820313,4218.205078,4186.922852,4236.538574,4203.846191,4194.487305,4179.358887,4616.282227,4524.358887,4440.897461,4553.077148,5963.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.342097,1703412067.342622,123.000000,0.000000,4276.282227,4230.256348,4322.051270,4280.512695,4218.333496,4188.589844,4241.410156,4217.436035,4207.436035,4202.948730,4621.153809,4527.051270,4448.333496,4573.974121,6127.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412067.349905,1703412067.350330,124.000000,0.000000,4285.256348,4241.153809,4333.077148,4291.794922,4220.897461,4180.384766,4239.743652,4218.461426,4211.922852,4203.461426,4620.641113,4543.846191,4449.487305,4563.717773,6624.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.732632,-0.073059,-0.673828,-0.062195,0.993285,-0.025882,0.090343,-15.971988,-38.743347,65.686958
1703412067.357713,1703412067.358138,125.000000,0.000000,4285.769043,4239.102539,4330.384766,4292.820313,4217.179688,4174.487305,4232.436035,4202.563965,4193.205078,4181.922852,4614.358887,4538.717773,4440.128418,4548.717773,6982.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
