title:يمان يسار 2, start timestamp:1703416670.645236, stop timestamp:1703416681.443767, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703416670.645236,1703416670.646032,83.000000,0.000000,4263.589844,4207.307617,4269.230957,4258.077148,4220.128418,4221.794922,4232.563965,4226.922852,4197.307617,4192.692383,4527.051270,4455.128418,4336.666504,4435.512695,6519.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.653044,1703416670.653940,84.000000,0.000000,4258.333496,4208.974121,4268.589844,4255.641113,4222.563965,4228.974121,4235.512695,4228.077148,4194.487305,4199.230957,4527.948730,4452.051270,4335.512695,4429.358887,7015.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.658364,0.136108,-0.669556,0.315796,0.960078,-0.250031,0.066903,-10.525070,-50.875927,66.442841
1703416670.660852,1703416670.661748,85.000000,0.000000,4260.128418,4209.487305,4269.358887,4253.717773,4221.025879,4222.307617,4232.179688,4221.666504,4183.974121,4196.538574,4526.410156,4451.794922,4336.794922,4436.410156,7621.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.668660,1703416670.669457,86.000000,0.000000,4272.051270,4216.538574,4281.153809,4255.897461,4222.179688,4216.282227,4226.922852,4211.410156,4174.230957,4178.974121,4527.948730,4455.000000,4339.743652,4445.128418,6304.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.676468,1703416670.677265,87.000000,0.000000,4280.897461,4220.128418,4285.000000,4255.641113,4219.230957,4213.717773,4218.589844,4197.563965,4159.615234,4168.846191,4523.846191,4455.000000,4339.871582,4445.256348,6519.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.684276,1703416670.684973,88.000000,0.000000,4279.743652,4216.153809,4276.538574,4227.692383,4213.461426,4207.820313,4212.307617,4179.102539,4144.102539,4170.000000,4515.897461,4445.512695,4335.128418,4444.358887,7015.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.658438,0.136047,-0.669495,0.315796,0.943963,-0.244170,0.067879,-10.405896,-50.788334,66.431885
1703416670.692084,1703416670.692781,89.000000,0.000000,4271.025879,4210.897461,4268.333496,4173.846191,4206.410156,4197.820313,4205.128418,4160.769043,4135.641113,4163.205078,4504.487305,4422.948730,4323.333496,4430.384766,7621.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.699892,1703416670.700490,90.000000,0.000000,4268.461426,4210.769043,4262.179688,4141.666504,4205.256348,4196.153809,4199.102539,4157.692383,4138.333496,4159.871582,4496.666504,4412.820313,4319.615234,4416.666504,6304.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.707700,1703416670.708398,91.000000,0.000000,4268.589844,4210.641113,4252.307617,4135.000000,4206.538574,4197.820313,4195.641113,4157.948730,4136.282227,4158.974121,4492.948730,4411.153809,4321.666504,4412.820313,6519.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416670.715508,1703416670.716207,92.000000,0.000000,4253.333496,4204.358887,4242.307617,4122.948730,4199.487305,4194.615234,4192.179688,4148.974121,4127.563965,4149.230957,4483.333496,4395.769043,4308.717773,4401.153809,7015.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.658359,0.135864,-0.669495,0.316040,0.960566,-0.257356,0.075693,-10.631973,-50.776165,66.438698
