title:يمان يسار, start timestamp:1703416612.412778, stop timestamp:1703416623.195691, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703416612.412778,1703416612.412675,49.000000,0.000000,4371.794922,4392.307617,4450.128418,4393.846191,4391.922852,4378.589844,4364.615234,4392.563965,4427.948730,4401.282227,4748.717773,4680.384766,4525.256348,4628.717773,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.420586,1703416612.420584,50.000000,0.000000,4366.794922,4392.692383,4447.436035,4393.461426,4391.794922,4380.128418,4365.128418,4395.897461,4424.871582,4401.153809,4746.666504,4679.615234,4522.692383,4621.025879,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.428394,1703416612.428392,51.000000,0.000000,4364.358887,4396.794922,4449.871582,4398.846191,4394.487305,4382.436035,4365.384766,4393.974121,4424.615234,4408.205078,4748.974121,4680.128418,4524.615234,4616.538574,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.436202,1703416612.436201,52.000000,0.000000,4363.461426,4392.948730,4450.128418,4400.641113,4394.230957,4376.922852,4367.436035,4389.358887,4423.205078,4398.974121,4746.666504,4672.051270,4521.538574,4615.897461,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.635094,0.160706,-0.673767,0.341858,0.963008,-0.255402,0.042486,-10.088521,-51.274982,66.181755
1703416612.444010,1703416612.443909,53.000000,0.000000,4369.871582,4395.897461,4452.436035,4406.153809,4398.846191,4377.563965,4372.692383,4391.282227,4427.563965,4405.128418,4751.282227,4678.717773,4524.230957,4626.153809,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.451818,1703416612.451817,54.000000,0.000000,4369.358887,4397.307617,4453.205078,4410.897461,4394.743652,4376.025879,4367.820313,4388.846191,4425.641113,4415.769043,4748.461426,4688.205078,4522.563965,4628.846191,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.459626,1703416612.459626,55.000000,0.000000,4367.820313,4397.051270,4457.820313,4413.846191,4389.230957,4371.282227,4362.948730,4391.153809,4421.922852,4402.692383,4746.538574,4688.077148,4520.000000,4627.307617,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.467434,1703416612.467534,56.000000,0.000000,4377.692383,4404.615234,4468.974121,4418.974121,4392.692383,4372.051270,4366.666504,4403.717773,4433.077148,4399.615234,4763.846191,4697.820313,4533.077148,4640.641113,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.634997,0.160706,-0.673828,0.341919,0.959590,-0.263216,0.038579,-10.096335,-51.314148,66.196915
1703416612.475242,1703416612.475343,57.000000,0.000000,4380.256348,4406.410156,4469.102539,4420.000000,4390.512695,4372.179688,4365.128418,4406.282227,4437.563965,4410.384766,4770.256348,4701.922852,4539.358887,4645.769043,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416612.483050,1703416612.483251,58.000000,0.000000,4379.615234,4408.717773,4466.410156,4423.846191,4395.769043,4379.615234,4370.128418,4407.179688,4438.077148,4417.051270,4773.205078,4705.000000,4544.871582,4649.358887,0.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
