title:حازم  يسار 2, start timestamp:1703494885.619323, stop timestamp:1703494896.417862, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494885.619323,1703494885.619880,12.000000,0.000000,4247.692383,4232.179688,4309.102539,4293.974121,4250.641113,4244.358887,4247.051270,4238.333496,4248.461426,4216.282227,4519.358887,4469.615234,4342.436035,4416.025879,6718.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.725393,-0.014526,-0.686646,0.045959,0.994750,-0.116225,0.064461,-15.691149,-42.746628,64.624855
1703494885.627131,1703494885.627588,13.000000,0.000000,4249.743652,4236.410156,4315.128418,4295.897461,4253.077148,4237.051270,4237.179688,4225.769043,4239.102539,4214.615234,4518.974121,4474.358887,4342.051270,4421.922852,7092.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.634939,1703494885.635396,14.000000,0.000000,4250.128418,4241.025879,4320.641113,4305.000000,4247.179688,4231.025879,4235.512695,4214.871582,4231.025879,4214.230957,4521.666504,4476.666504,4342.948730,4427.948730,5935.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.642747,1703494885.643104,15.000000,0.000000,4258.205078,4244.102539,4322.051270,4309.487305,4246.794922,4235.128418,4242.436035,4222.051270,4240.769043,4221.666504,4523.589844,4478.846191,4345.512695,4431.025879,6195.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.650555,1703494885.650912,16.000000,0.000000,4261.410156,4243.846191,4320.641113,4306.153809,4248.717773,4243.846191,4246.153809,4232.051270,4258.461426,4234.615234,4526.282227,4483.974121,4352.948730,4432.307617,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.725318,-0.014404,-0.686707,0.046265,0.984984,-0.126969,0.058601,-15.488701,-42.671967,64.545708
1703494885.658363,1703494885.658620,17.000000,0.000000,4255.641113,4247.820313,4317.436035,4303.974121,4251.153809,4250.256348,4248.461426,4232.563965,4265.897461,4237.948730,4525.000000,4480.769043,4350.384766,4431.922852,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.666171,1703494885.666428,18.000000,0.000000,4246.538574,4244.871582,4310.384766,4301.794922,4251.922852,4247.820313,4257.436035,4242.692383,4269.487305,4230.384766,4521.922852,4473.846191,4339.871582,4425.128418,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.673979,1703494885.674136,19.000000,0.000000,4237.307617,4232.436035,4301.410156,4295.000000,4247.307617,4243.589844,4262.051270,4261.025879,4273.846191,4231.666504,4529.615234,4478.333496,4346.153809,4418.589844,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494885.681787,1703494885.681944,20.000000,0.000000,4233.461426,4236.282227,4299.358887,4293.589844,4248.717773,4243.205078,4255.000000,4261.922852,4267.436035,4233.205078,4536.282227,4478.717773,4354.487305,4418.717773,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.725188,-0.014343,-0.686829,0.046509,0.984495,-0.104505,0.070809,-15.456497,-42.721436,64.507797
1703494885.689595,1703494885.689652,21.000000,0.000000,4233.461426,4244.487305,4297.179688,4293.589844,4245.769043,4238.846191,4249.102539,4246.282227,4249.358887,4216.922852,4521.666504,4463.589844,4342.307617,4415.512695,0.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
