title:حلاق يسار, start timestamp:1703152730.880506, stop timestamp:1703152741.663412, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703152730.880506,1703152730.881028,92.000000,0.000000,4190.897461,4202.179688,4260.384766,4307.563965,4216.794922,4182.307617,4277.179688,4152.820313,4169.871582,4167.692383,4612.692383,4422.051270,4440.641113,4459.358887,6716.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,23.000000,0.000000,0.613705,0.424683,-0.516357,0.419983,0.998169,0.069833,0.100110,-16.788826,-30.437372,65.357986
1703152730.888314,1703152730.888736,93.000000,0.000000,4197.436035,4210.256348,4269.871582,4309.615234,4214.743652,4182.179688,4281.794922,4153.846191,4170.512695,4166.410156,4617.948730,4427.307617,4446.282227,4459.871582,6918.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.896122,1703152730.896544,94.000000,0.000000,4209.743652,4225.897461,4281.153809,4322.692383,4216.410156,4186.025879,4278.077148,4160.512695,4176.794922,4172.820313,4623.717773,4437.692383,4453.461426,4472.179688,5946.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.903930,1703152730.904252,95.000000,0.000000,4221.410156,4228.974121,4283.974121,4331.538574,4224.230957,4200.256348,4278.333496,4166.410156,4181.025879,4178.846191,4630.384766,4448.333496,4464.615234,4474.871582,6352.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.911738,1703152730.912060,96.000000,0.000000,4235.512695,4235.256348,4290.769043,4340.128418,4239.358887,4215.769043,4282.051270,4175.384766,4186.538574,4192.051270,4646.282227,4465.512695,4480.641113,4457.948730,6716.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,24.000000,0.000000,0.613678,0.424500,-0.516541,0.419983,0.969357,0.085460,0.101575,-16.693275,-30.460302,65.372185
1703152730.919546,1703152730.919768,97.000000,0.000000,4239.487305,4248.717773,4302.563965,4352.948730,4251.794922,4225.769043,4278.974121,4185.384766,4198.974121,4209.615234,4661.538574,4474.743652,4492.436035,4474.743652,6918.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.927354,1703152730.927676,98.000000,0.000000,4242.179688,4257.436035,4307.436035,4358.846191,4254.871582,4233.461426,4281.153809,4190.000000,4207.563965,4214.615234,4662.179688,4468.077148,4491.666504,4516.282227,5946.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.935162,1703152730.935484,99.000000,0.000000,4250.384766,4258.589844,4309.230957,4357.948730,4262.948730,4237.563965,4283.333496,4196.153809,4221.922852,4216.922852,4669.615234,4476.794922,4495.000000,4520.512695,6352.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.942970,1703152730.943392,100.000000,0.000000,4256.025879,4261.410156,4319.358887,4365.897461,4274.871582,4237.948730,4280.641113,4205.769043,4239.230957,4222.307617,4683.077148,4498.589844,4505.128418,4509.487305,6716.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,25.000000,0.000000,0.613565,0.424561,-0.516724,0.419861,0.985472,0.102552,0.106458,-16.590616,-30.630939,65.418297
1703152730.950778,1703152730.951201,101.000000,0.000000,4264.358887,4272.307617,4328.717773,4378.846191,4274.743652,4245.000000,4281.410156,4211.666504,4241.538574,4225.641113,4684.487305,4497.563965,4507.307617,4530.000000,6918.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.958586,1703152730.959109,102.000000,0.000000,4276.666504,4280.512695,4334.871582,4385.641113,4279.102539,4258.589844,4285.128418,4215.769043,4240.769043,4233.846191,4686.410156,4499.230957,4507.051270,4550.897461,5946.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,1.000000,16.666666,4.000000,1.000000,1.000000,3.000000,1.000000,1.000000,0.000000,3.000000,3.000000,1.000000,3.000000,3.000000,4.000000,3.000000,,,,,,,,,,,,
1703152730.966394,1703152730.966917,103.000000,0.000000,4283.333496,4281.794922,4343.461426,4391.922852,4294.358887,4266.282227,4284.358887,4220.769043,4250.769043,4241.538574,4689.358887,4517.179688,4508.717773,4538.589844,6352.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.974202,1703152730.974825,104.000000,0.000000,4280.641113,4280.769043,4342.692383,4395.384766,4293.205078,4264.230957,4280.641113,4220.384766,4257.948730,4244.743652,4687.051270,4515.897461,4513.717773,4530.256348,6716.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,26.000000,0.000000,0.613513,0.424683,-0.516785,0.419739,1.007447,0.087413,0.104993,-16.764887,-30.667845,65.526466
1703152730.982010,1703152730.982633,105.000000,0.000000,4283.077148,4284.358887,4341.282227,4391.410156,4279.871582,4261.025879,4284.230957,4219.358887,4258.333496,4253.974121,4688.846191,4511.922852,4518.461426,4546.153809,6918.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.989818,1703152730.990341,106.000000,0.000000,4290.897461,4284.487305,4347.307617,4388.077148,4288.333496,4265.256348,4286.025879,4217.692383,4254.102539,4248.589844,4685.641113,4520.384766,4511.794922,4548.717773,5946.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703152730.997626,1703152730.998149,107.000000,0.000000,4285.769043,4278.589844,4342.436035,4387.820313,4299.102539,4270.897461,4283.461426,4214.230957,4249.358887,4237.436035,4679.871582,4519.487305,4505.384766,4530.641113,6352.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
