title:رشيد يسار, start timestamp:1703406233.672341, stop timestamp:1703406244.517716, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406233.672341,1703406233.672285,42.000000,0.000000,4190.384766,4206.922852,4272.948730,4251.538574,4158.974121,4200.769043,4200.384766,4127.563965,4140.384766,4149.871582,4617.436035,4450.769043,4408.333496,4506.282227,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.680149,1703406233.680193,43.000000,0.000000,4185.128418,4200.256348,4270.256348,4248.846191,4152.179688,4201.410156,4200.128418,4132.948730,4153.589844,4146.666504,4616.153809,4447.820313,4410.384766,4505.256348,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.687957,1703406233.688001,44.000000,0.000000,4184.230957,4200.128418,4271.538574,4245.128418,4152.948730,4198.589844,4204.743652,4142.307617,4145.384766,4120.256348,4619.230957,4447.307617,4409.102539,4504.871582,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.652795,0.283325,-0.594604,0.374207,0.977170,-0.075693,0.105482,-15.958222,-40.575848,66.058456
1703406233.695765,1703406233.695909,45.000000,0.000000,4181.153809,4199.615234,4268.717773,4238.077148,4148.589844,4198.077148,4210.897461,4138.974121,4125.897461,4115.897461,4615.128418,4442.692383,4396.794922,4500.641113,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.703573,1703406233.703717,46.000000,0.000000,4182.307617,4205.000000,4269.487305,4237.820313,4145.256348,4199.871582,4209.358887,4126.794922,4128.974121,4136.922852,4614.871582,4442.692383,4398.974121,4503.333496,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.711381,1703406233.711624,47.000000,0.000000,4192.307617,4215.128418,4274.358887,4247.692383,4152.692383,4201.282227,4200.256348,4125.128418,4142.563965,4145.512695,4626.538574,4453.589844,4415.641113,4514.871582,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.719189,1703406233.719432,48.000000,0.000000,4192.307617,4211.153809,4272.307617,4250.641113,4157.692383,4194.871582,4197.948730,4134.871582,4149.102539,4145.256348,4632.307617,4456.666504,4417.948730,4514.743652,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.652784,0.283447,-0.594482,0.374329,0.998657,-0.078623,0.117690,-16.045734,-40.551598,66.085945
1703406233.726997,1703406233.727340,49.000000,0.000000,4186.794922,4203.205078,4268.589844,4247.051270,4153.846191,4188.846191,4203.077148,4146.922852,4155.769043,4151.794922,4631.282227,4453.461426,4418.333496,4507.307617,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.734805,1703406233.735148,50.000000,0.000000,4187.692383,4206.153809,4268.717773,4243.205078,4147.948730,4190.384766,4205.128418,4155.384766,4161.410156,4161.410156,4632.436035,4456.538574,4425.000000,4507.948730,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.742613,1703406233.743056,51.000000,0.000000,4187.563965,4206.538574,4267.820313,4237.307617,4146.410156,4189.487305,4204.615234,4153.205078,4159.358887,4157.692383,4633.205078,4460.000000,4420.128418,4510.512695,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.750421,1703406233.750864,52.000000,0.000000,4192.051270,4206.922852,4267.563965,4238.974121,4149.102539,4187.179688,4201.922852,4143.077148,4155.128418,4140.512695,4632.307617,4460.000000,4415.256348,4511.153809,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.652775,0.283386,-0.594482,0.374390,0.989379,-0.079111,0.100598,-15.991160,-40.529770,65.944016
1703406233.758229,1703406233.758672,53.000000,0.000000,4197.436035,4207.948730,4269.743652,4240.256348,4147.051270,4189.615234,4198.333496,4134.871582,4149.102539,4130.641113,4628.717773,4456.410156,4419.102539,4513.717773,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.766037,1703406233.766480,54.000000,0.000000,4188.333496,4200.000000,4266.794922,4230.128418,4140.641113,4190.128418,4200.641113,4133.077148,4141.794922,4139.102539,4616.153809,4446.666504,4409.743652,4507.820313,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.773845,1703406233.774188,55.000000,0.000000,4179.743652,4198.077148,4262.051270,4226.538574,4140.000000,4185.256348,4201.282227,4135.000000,4139.358887,4141.410156,4605.384766,4441.025879,4397.051270,4498.077148,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406233.781654,1703406233.781996,56.000000,0.000000,4184.743652,4203.974121,4263.846191,4231.666504,4137.948730,4184.102539,4194.743652,4136.538574,4142.051270,4123.205078,4609.230957,4442.563965,4398.717773,4500.897461,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.652690,0.283325,-0.594604,0.374390,0.972287,-0.088390,0.113783,-16.025377,-40.510128,65.866280
1703406233.789461,1703406233.789704,57.000000,0.000000,4186.410156,4203.077148,4268.077148,4232.563965,4137.051270,4185.897461,4193.589844,4140.256348,4146.025879,4122.563965,4613.205078,4444.871582,4401.666504,4505.128418,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
