title:aya يمين, start timestamp:1702803154.554811, stop timestamp:1702803165.970222, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1463      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1702803154.554811,1702803154.906838,93.000000,0.000000,4197.051270,4169.743652,4296.282227,4245.897461,4158.205078,4118.846191,4253.589844,4162.307617,4147.051270,4145.512695,4712.307617,4467.436035,4435.897461,4553.717773,6852.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.562619,1702803154.914746,94.000000,0.000000,4209.743652,4177.692383,4306.410156,4257.307617,4160.769043,4121.153809,4255.897461,4155.897461,4133.846191,4152.948730,4713.461426,4474.743652,4441.410156,4566.153809,5809.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.570427,1702803154.922555,95.000000,0.000000,4212.179688,4183.205078,4305.256348,4258.846191,4158.717773,4123.077148,4257.179688,4144.102539,4120.128418,4156.153809,4698.589844,4474.358887,4431.922852,4560.769043,5858.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.578235,1702803154.930463,96.000000,0.000000,4213.461426,4187.820313,4305.256348,4260.384766,4159.871582,4129.230957,4257.692383,4142.820313,4124.358887,4158.717773,4700.641113,4473.846191,4436.153809,4559.358887,6716.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.715751,0.168091,-0.657776,0.163635,0.995727,0.026370,0.084483,-5.220187,15.560955,98.024933
1702803154.586043,1702803154.938271,97.000000,0.000000,4213.077148,4182.436035,4304.871582,4257.948730,4156.794922,4131.153809,4261.538574,4145.897461,4135.641113,4153.205078,4696.282227,4470.512695,4437.307617,4558.974121,6852.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.593851,1702803154.946079,98.000000,0.000000,4207.563965,4174.358887,4299.358887,4252.692383,4150.641113,4130.128418,4265.128418,4156.153809,4152.436035,4145.641113,4692.692383,4473.846191,4429.358887,4555.897461,5809.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.601659,1702803154.953987,99.000000,0.000000,4195.512695,4164.102539,4287.307617,4244.871582,4141.922852,4128.717773,4265.128418,4174.358887,4162.563965,4138.205078,4701.153809,4472.179688,4424.871582,4550.128418,5858.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.609467,1702803154.961795,100.000000,0.000000,4181.922852,4148.461426,4275.897461,4229.358887,4142.436035,4122.948730,4261.025879,4175.641113,4147.051270,4122.692383,4687.563965,4453.077148,4411.538574,4534.487305,6716.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.715765,0.168152,-0.657776,0.163513,0.975705,0.025882,0.083995,-5.198168,15.604859,98.055779
1702803154.617275,1702803154.969703,101.000000,0.000000,4193.717773,4160.512695,4286.922852,4238.589844,4151.922852,4132.051270,4265.000000,4173.846191,4145.897461,4132.948730,4686.922852,4462.563965,4413.974121,4537.051270,6852.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803154.625083,1702803154.977512,102.000000,0.000000,4199.358887,4173.846191,4291.922852,4251.025879,4151.666504,4136.153809,4270.769043,4174.487305,4152.692383,4150.512695,4694.615234,4474.871582,4424.487305,4544.487305,5809.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
