title:صنجي يمين, start timestamp:1703492105.219278, stop timestamp:1703492115.955343, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492105.219278,1703492105.219590,23.000000,0.000000,4302.820313,4271.410156,4307.179688,4280.256348,4264.230957,4243.846191,4238.333496,4231.794922,4207.436035,4194.615234,4582.179688,4481.025879,4391.666504,4504.230957,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.227086,1703492105.227298,24.000000,0.000000,4292.948730,4261.666504,4303.077148,4274.487305,4255.384766,4239.615234,4235.897461,4232.563965,4202.563965,4197.692383,4564.743652,4474.743652,4377.051270,4488.333496,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.189835,0.649719,-0.179016,0.713989,0.984984,-0.023929,0.147967,-18.014814,-38.536869,66.478508
1703492105.234894,1703492105.235106,25.000000,0.000000,4289.743652,4252.820313,4296.666504,4264.871582,4245.128418,4229.230957,4234.871582,4229.102539,4193.589844,4162.563965,4541.153809,4464.487305,4356.282227,4473.461426,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.242702,1703492105.242814,26.000000,0.000000,4288.077148,4256.666504,4293.333496,4269.230957,4245.384766,4227.307617,4233.205078,4230.128418,4191.538574,4143.077148,4531.282227,4457.051270,4350.897461,4474.230957,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.250511,1703492105.250622,27.000000,0.000000,4294.871582,4261.794922,4302.563965,4279.743652,4253.846191,4231.153809,4230.769043,4236.153809,4199.871582,4174.743652,4547.307617,4465.128418,4368.205078,4485.256348,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.258319,1703492105.258330,28.000000,0.000000,4308.333496,4264.487305,4313.717773,4282.436035,4258.846191,4226.282227,4232.563965,4232.948730,4196.025879,4189.615234,4556.410156,4477.820313,4382.436035,4493.846191,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.189778,0.649719,-0.178833,0.714050,0.985960,-0.039067,0.140154,-17.896667,-38.466515,66.463997
1703492105.266127,1703492105.266138,29.000000,0.000000,4305.641113,4266.153809,4310.641113,4281.025879,4251.282227,4219.871582,4231.153809,4219.487305,4176.538574,4171.538574,4541.538574,4476.153809,4374.358887,4493.846191,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.273935,1703492105.273846,30.000000,0.000000,4297.948730,4262.436035,4306.922852,4278.589844,4246.153809,4227.436035,4230.512695,4213.077148,4163.717773,4174.487305,4538.717773,4471.410156,4368.077148,4487.948730,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.281743,1703492105.281754,31.000000,0.000000,4306.666504,4262.436035,4311.794922,4277.948730,4258.717773,4240.897461,4241.538574,4215.000000,4160.641113,4187.179688,4553.461426,4475.256348,4377.820313,4488.974121,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492105.289551,1703492105.289563,32.000000,0.000000,4311.410156,4266.282227,4312.307617,4280.897461,4264.743652,4244.102539,4249.615234,4213.846191,4160.512695,4181.538574,4552.563965,4475.512695,4382.436035,4494.615234,0.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.189758,0.649658,-0.178833,0.714111,0.974728,-0.032719,0.144549,-17.823666,-38.486530,66.450928
