title:عمار يمين, start timestamp:1703503262.171173, stop timestamp:1703503272.462183, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1319      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503262.171173,1703503262.171595,89.000000,0.000000,4296.666504,4282.179688,4307.436035,4272.820313,4280.128418,4290.384766,4297.563965,4313.846191,4179.487305,4321.922852,4538.077148,4485.641113,4284.358887,4445.128418,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.178981,1703503262.179503,90.000000,0.000000,4295.256348,4284.615234,4309.743652,4280.512695,4276.922852,4285.256348,4294.743652,4307.307617,4169.102539,4307.948730,4537.179688,4481.666504,4276.922852,4447.307617,6182.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.186789,1703503262.187311,91.000000,0.000000,4294.871582,4281.538574,4310.769043,4279.487305,4275.128418,4280.897461,4291.666504,4300.641113,4168.205078,4310.128418,4537.436035,4485.641113,4252.563965,4446.666504,6424.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.194597,1703503262.195219,92.000000,0.000000,4298.589844,4282.179688,4310.256348,4280.000000,4274.743652,4280.000000,4286.666504,4292.179688,4170.512695,4315.128418,4542.179688,4484.743652,4246.538574,4446.025879,6970.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.463824,0.517090,-0.459595,0.553406,0.986449,-0.019045,0.047369,-15.431207,-37.114281,60.990780
1703503262.202405,1703503262.203127,93.000000,0.000000,4307.436035,4298.461426,4317.820313,4290.512695,4279.102539,4280.641113,4281.410156,4282.051270,4163.589844,4301.025879,4547.179688,4484.102539,4261.794922,4456.538574,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.210213,1703503262.210935,94.000000,0.000000,4313.205078,4307.179688,4326.538574,4298.717773,4281.282227,4280.897461,4281.153809,4276.410156,4156.922852,4291.538574,4542.692383,4489.358887,4267.820313,4462.179688,6182.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.218021,1703503262.218744,95.000000,0.000000,4314.743652,4299.615234,4328.589844,4296.282227,4278.589844,4279.102539,4280.897461,4282.692383,4167.692383,4297.436035,4543.846191,4491.794922,4272.948730,4460.256348,6424.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.225829,1703503262.226452,96.000000,0.000000,4310.512695,4293.589844,4327.948730,4294.615234,4276.025879,4277.692383,4279.230957,4292.948730,4181.922852,4300.512695,4546.666504,4492.307617,4282.692383,4460.128418,6970.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.463582,0.517090,-0.459839,0.553406,0.999145,-0.024417,0.042486,-15.571420,-37.152851,60.908371
1703503262.233637,1703503262.234260,97.000000,0.000000,4302.820313,4292.436035,4325.128418,4297.436035,4277.948730,4277.948730,4279.358887,4296.410156,4186.794922,4298.717773,4538.077148,4491.922852,4280.512695,4454.102539,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703503262.241445,1703503262.241968,98.000000,0.000000,4295.000000,4287.307617,4315.641113,4292.179688,4274.743652,4279.102539,4279.743652,4302.436035,4195.000000,4304.230957,4534.871582,4491.794922,4280.641113,4448.461426,6182.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.249253,1703503262.249776,99.000000,0.000000,4288.205078,4278.974121,4307.436035,4283.974121,4267.179688,4280.512695,4281.153809,4307.307617,4201.282227,4308.461426,4531.666504,4487.179688,4280.384766,4445.000000,6424.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.257061,1703503262.257484,100.000000,0.000000,4288.077148,4277.563965,4306.666504,4289.102539,4271.922852,4281.922852,4282.307617,4309.102539,4209.102539,4307.051270,4526.282227,4481.794922,4280.128418,4445.641113,6970.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.463332,0.517151,-0.460022,0.553406,0.988402,-0.033696,0.034672,-15.297610,-37.104233,61.034199
1703503262.264869,1703503262.265292,101.000000,0.000000,4293.589844,4282.692383,4307.948730,4297.307617,4281.153809,4281.282227,4280.512695,4317.692383,4227.179688,4313.077148,4537.307617,4490.000000,4296.282227,4453.974121,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.272678,1703503262.273000,102.000000,0.000000,4296.794922,4286.666504,4311.410156,4296.794922,4278.589844,4278.717773,4278.846191,4315.897461,4231.025879,4312.179688,4541.025879,4493.461426,4303.205078,4452.436035,6182.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503262.280486,1703503262.280808,103.000000,0.000000,4294.230957,4285.256348,4312.051270,4294.487305,4270.641113,4277.051270,4277.436035,4299.102539,4220.256348,4306.794922,4526.666504,4482.436035,4293.717773,4443.205078,6424.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
