title:فارس يمين, start timestamp:1703504459.642438, stop timestamp:1703504470.401926, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504459.642438,1703504459.642944,98.000000,0.000000,4246.410156,4264.871582,4298.205078,4282.436035,4279.871582,4260.897461,4280.769043,4193.589844,4224.743652,4218.974121,4466.410156,4447.563965,4348.205078,4407.436035,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.650246,1703504459.650652,99.000000,0.000000,4245.256348,4264.615234,4299.102539,4278.333496,4276.410156,4262.820313,4277.563965,4201.410156,4234.487305,4219.487305,4472.563965,4451.282227,4348.461426,4410.769043,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.658054,1703504459.658460,100.000000,0.000000,4245.384766,4266.666504,4306.538574,4265.512695,4266.666504,4260.769043,4276.794922,4202.179688,4235.641113,4227.307617,4471.025879,4460.641113,4354.230957,4415.000000,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.710292,-0.312622,-0.630676,0.000488,0.902454,-0.440483,0.011232,-5.876499,-46.452377,58.973572
1703504459.665862,1703504459.666168,101.000000,0.000000,4251.922852,4265.000000,4308.974121,4269.358887,4262.563965,4252.820313,4280.000000,4203.717773,4232.948730,4237.051270,4473.589844,4467.051270,4365.512695,4420.512695,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.673670,1703504459.674076,102.000000,0.000000,4253.077148,4254.487305,4308.461426,4271.666504,4262.948730,4248.461426,4279.487305,4205.128418,4231.410156,4244.102539,4477.563965,4466.282227,4365.769043,4419.230957,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.681479,1703504459.681884,103.000000,0.000000,4243.077148,4246.666504,4301.794922,4253.589844,4258.077148,4249.871582,4270.769043,4196.410156,4222.179688,4236.153809,4463.717773,4453.461426,4351.282227,4405.384766,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.689287,1703504459.689791,104.000000,0.000000,4236.282227,4244.743652,4290.769043,4241.025879,4250.384766,4247.307617,4262.563965,4181.538574,4202.436035,4214.102539,4442.563965,4440.000000,4339.871582,4394.230957,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.710319,-0.312683,-0.630615,0.000488,0.883409,-0.439018,0.021487,-5.805516,-46.407139,59.026215
1703504459.697095,1703504459.697599,105.000000,0.000000,4240.641113,4243.077148,4292.948730,4246.666504,4249.102539,4244.358887,4263.077148,4175.512695,4188.461426,4203.077148,4439.615234,4440.641113,4343.333496,4398.461426,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.704903,1703504459.705507,106.000000,0.000000,4249.102539,4244.871582,4296.922852,4249.102539,4255.897461,4247.820313,4265.769043,4181.538574,4193.205078,4214.102539,4454.743652,4448.205078,4358.077148,4408.974121,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.712711,1703504459.713315,107.000000,0.000000,4247.051270,4246.153809,4292.692383,4248.077148,4262.436035,4249.230957,4264.743652,4183.205078,4200.769043,4218.077148,4457.051270,4443.589844,4360.128418,4405.897461,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.720519,1703504459.721223,108.000000,0.000000,4240.897461,4244.102539,4293.461426,4255.897461,4262.307617,4246.922852,4262.563965,4176.666504,4202.179688,4212.692383,4448.077148,4434.871582,4351.794922,4397.948730,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.710292,-0.312744,-0.630615,0.000549,0.878525,-0.451227,0.005372,-6.074965,-46.599758,58.890259
1703504459.728327,1703504459.729031,109.000000,0.000000,4242.436035,4244.230957,4293.846191,4262.436035,4260.384766,4245.769043,4261.922852,4173.077148,4202.307617,4211.153809,4444.615234,4431.025879,4351.282227,4398.717773,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.736135,1703504459.736739,110.000000,0.000000,4247.051270,4244.615234,4292.051270,4263.846191,4262.948730,4246.666504,4260.641113,4173.461426,4198.077148,4203.717773,4440.256348,4428.077148,4353.846191,4398.589844,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.743943,1703504459.744547,111.000000,0.000000,4250.256348,4245.384766,4292.307617,4262.307617,4261.282227,4247.948730,4258.717773,4179.102539,4201.282227,4203.205078,4446.282227,4432.436035,4359.102539,4403.205078,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.751751,1703504459.752255,112.000000,0.000000,4249.102539,4248.461426,4295.384766,4260.512695,4256.153809,4247.563965,4259.615234,4190.641113,4213.974121,4215.128418,4461.153809,4443.205078,4363.589844,4410.128418,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.710238,-0.312744,-0.630676,0.000732,0.888780,-0.440483,0.005860,-5.967468,-46.523117,58.901234
1703504459.759559,1703504459.760063,113.000000,0.000000,4246.410156,4248.461426,4296.025879,4263.333496,4262.563965,4248.846191,4263.077148,4202.692383,4221.282227,4218.846191,4464.102539,4447.563965,4366.025879,4407.948730,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.767367,1703504459.767771,114.000000,0.000000,4245.256348,4246.410156,4294.230957,4267.436035,4269.230957,4250.128418,4264.871582,4208.846191,4225.128418,4216.153809,4465.256348,4448.717773,4371.922852,4409.871582,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.775175,1703504459.775579,115.000000,0.000000,4246.538574,4246.538574,4298.717773,4265.897461,4265.256348,4248.205078,4266.025879,4206.922852,4230.128418,4217.820313,4474.102539,4457.948730,4374.615234,4416.538574,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.782983,1703504459.783287,116.000000,0.000000,4249.102539,4248.717773,4301.282227,4266.666504,4267.820313,4249.230957,4266.025879,4206.538574,4233.846191,4225.000000,4478.205078,4462.436035,4376.666504,4416.794922,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.710237,-0.312622,-0.630737,0.000977,0.876572,-0.447320,0.002930,-6.004055,-46.587471,58.661110
1703504459.790791,1703504459.791095,117.000000,0.000000,4249.102539,4251.666504,4295.897461,4271.666504,4275.000000,4251.025879,4264.615234,4204.230957,4230.256348,4224.871582,4475.128418,4452.820313,4382.051270,4414.487305,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.798599,1703504459.798803,118.000000,0.000000,4246.666504,4250.000000,4292.436035,4273.974121,4273.205078,4251.666504,4262.948730,4191.666504,4216.922852,4208.974121,4465.641113,4441.666504,4373.333496,4408.333496,6113.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.806407,1703504459.806611,119.000000,0.000000,4245.000000,4248.077148,4292.948730,4281.538574,4271.538574,4257.179688,4266.410156,4188.077148,4210.256348,4200.128418,4458.717773,4442.307617,4365.897461,4403.589844,6416.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504459.814215,1703504459.814319,120.000000,0.000000,4247.307617,4254.615234,4295.641113,4291.153809,4276.025879,4262.307617,4268.717773,4196.666504,4215.000000,4205.512695,4461.025879,4448.205078,4373.333496,4408.077148,6890.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.710291,-0.312500,-0.630737,0.000854,0.892199,-0.447809,0.011720,-5.986982,-46.512058,58.611668
1703504459.822023,1703504459.822126,121.000000,0.000000,4250.897461,4262.051270,4295.000000,4299.743652,4279.871582,4262.436035,4267.179688,4197.948730,4217.051270,4202.563965,4461.794922,4446.538574,4374.487305,4411.538574,7117.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
