title:فاكهاني يمين, start timestamp:1703489704.421713, stop timestamp:1703489715.212441, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703489704.421713,1703489704.422482,110.000000,0.000000,4292.948730,4245.769043,4278.974121,4278.333496,4224.102539,4193.205078,4192.692383,4226.666504,4222.692383,4217.051270,4551.666504,4470.384766,4375.769043,4457.692383,5908.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.429521,1703489704.430389,111.000000,0.000000,4295.897461,4249.358887,4281.666504,4282.179688,4221.794922,4191.666504,4198.077148,4223.717773,4219.358887,4226.666504,4563.077148,4472.179688,4360.000000,4463.846191,6143.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.437329,1703489704.438197,112.000000,0.000000,4288.077148,4260.512695,4282.692383,4281.410156,4216.410156,4184.743652,4193.974121,4218.077148,4211.666504,4236.282227,4562.436035,4469.871582,4366.153809,4464.615234,6669.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.732129,-0.083496,-0.675964,0.009399,0.984495,-0.125992,0.081553,-15.152470,-43.401646,65.213989
1703489704.445137,1703489704.446105,113.000000,0.000000,4277.948730,4249.358887,4277.051270,4276.153809,4213.974121,4183.333496,4192.307617,4212.948730,4196.922852,4234.615234,4543.461426,4462.307617,4342.436035,4444.102539,5078.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.452945,1703489704.453913,114.000000,0.000000,4273.461426,4228.974121,4273.205078,4275.256348,4216.025879,4183.974121,4195.000000,4207.307617,4188.461426,4233.461426,4532.436035,4458.846191,4323.717773,4430.384766,5908.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.460753,1703489704.461621,115.000000,0.000000,4280.512695,4247.948730,4280.641113,4281.794922,4227.948730,4183.846191,4198.717773,4211.282227,4199.487305,4254.358887,4543.589844,4467.179688,4352.436035,4447.307617,6143.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.468561,1703489704.469429,116.000000,0.000000,4285.256348,4269.102539,4286.922852,4276.025879,4227.563965,4177.563965,4202.051270,4218.205078,4210.769043,4265.641113,4552.436035,4471.538574,4371.666504,4459.230957,6669.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.732079,-0.083435,-0.676025,0.009399,0.975705,-0.133805,0.073251,-15.203889,-43.461479,65.309258
1703489704.476369,1703489704.477137,117.000000,0.000000,4289.230957,4252.820313,4284.487305,4266.282227,4215.256348,4171.922852,4198.974121,4214.871582,4208.717773,4258.333496,4546.538574,4465.384766,4362.436035,4451.025879,5078.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.484177,1703489704.484945,118.000000,0.000000,4298.461426,4249.615234,4288.333496,4274.102539,4221.153809,4176.153809,4200.000000,4219.487305,4215.512695,4270.000000,4555.000000,4468.205078,4355.256348,4455.000000,5908.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.491985,1703489704.492653,119.000000,0.000000,4296.922852,4267.307617,4296.538574,4286.153809,4233.974121,4181.025879,4206.282227,4234.487305,4234.358887,4288.589844,4574.743652,4480.000000,4361.922852,4467.563965,6143.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.499793,1703489704.500461,120.000000,0.000000,4291.025879,4259.230957,4294.230957,4282.307617,4232.051270,4179.615234,4202.948730,4236.794922,4237.563965,4287.820313,4574.358887,4477.692383,4372.563965,4461.282227,6669.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.732087,-0.083374,-0.676025,0.009338,0.982542,-0.145037,0.082530,-15.300167,-43.515331,65.394997
1703489704.507601,1703489704.508169,121.000000,0.000000,4288.974121,4246.153809,4290.512695,4275.000000,4229.615234,4178.333496,4199.871582,4228.589844,4222.692383,4282.307617,4566.153809,4467.307617,4383.974121,4452.436035,5078.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.515409,1703489704.515976,122.000000,0.000000,4292.948730,4260.000000,4295.384766,4280.769043,4231.794922,4173.205078,4202.692383,4222.179688,4216.153809,4280.897461,4571.153809,4468.461426,4384.487305,4462.948730,5908.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.523217,1703489704.523684,123.000000,0.000000,4298.461426,4266.666504,4295.384766,4286.410156,4230.897461,4167.948730,4201.538574,4219.102539,4216.794922,4272.179688,4574.358887,4473.333496,4369.230957,4476.153809,6143.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703489704.531026,1703489704.531492,124.000000,0.000000,4299.102539,4254.743652,4290.641113,4286.153809,4230.128418,4171.666504,4200.384766,4217.948730,4211.794922,4259.230957,4571.153809,4473.717773,4356.666504,4473.205078,6669.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.732150,-0.083313,-0.675964,0.009338,0.990844,-0.137224,0.067879,-15.336817,-43.430466,65.388832
