title:محمد يمين, start timestamp:1703415120.284756, stop timestamp:1703415131.130134, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415120.284756,1703415120.285045,114.000000,0.000000,4248.333496,4198.589844,4292.948730,4246.025879,4231.282227,4181.153809,4214.487305,4203.205078,4214.102539,4208.205078,4516.025879,4407.051270,4372.051270,4448.974121,5976.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.292564,1703415120.292954,115.000000,0.000000,4236.538574,4195.897461,4294.871582,4248.205078,4228.717773,4181.794922,4210.512695,4202.307617,4204.743652,4206.666504,4513.461426,4406.666504,4368.974121,4445.000000,6294.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.300372,1703415120.300762,116.000000,0.000000,4235.769043,4196.153809,4294.358887,4246.538574,4226.282227,4180.897461,4206.666504,4198.846191,4196.794922,4201.025879,4508.333496,4410.512695,4362.692383,4440.641113,6813.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.721864,0.170654,-0.608276,0.282471,0.964473,-0.112807,0.184593,-16.071289,-43.305943,69.969040
1703415120.308180,1703415120.308670,117.000000,0.000000,4247.307617,4200.769043,4304.230957,4250.000000,4228.846191,4184.743652,4211.794922,4199.871582,4204.487305,4201.282227,4507.179688,4425.128418,4370.256348,4443.333496,7359.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.315988,1703415120.316478,118.000000,0.000000,4251.666504,4201.538574,4308.589844,4260.128418,4243.077148,4190.769043,4218.333496,4204.102539,4217.692383,4206.153809,4512.563965,4425.512695,4377.563965,4454.743652,5976.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.323796,1703415120.324386,119.000000,0.000000,4245.512695,4198.205078,4297.563965,4253.717773,4242.307617,4188.717773,4214.743652,4201.410156,4220.000000,4210.512695,4512.179688,4408.205078,4372.179688,4455.384766,6294.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.331604,1703415120.332194,120.000000,0.000000,4244.871582,4202.563965,4291.410156,4247.948730,4229.871582,4190.384766,4212.436035,4197.179688,4212.051270,4210.641113,4505.384766,4403.205078,4363.717773,4440.256348,6813.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.721864,0.170654,-0.608276,0.282471,0.972287,-0.108412,0.202661,-16.097492,-43.342014,69.822136
1703415120.339412,1703415120.340003,121.000000,0.000000,4248.077148,4209.230957,4294.871582,4258.077148,4237.179688,4196.538574,4214.487305,4199.615234,4203.461426,4212.436035,4505.897461,4403.846191,4359.871582,4429.230957,7359.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.347220,1703415120.347711,122.000000,0.000000,4235.769043,4199.230957,4289.487305,4255.769043,4237.307617,4190.384766,4209.102539,4200.897461,4199.743652,4215.769043,4508.461426,4398.205078,4359.871582,4424.743652,5976.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415120.355029,1703415120.355619,123.000000,0.000000,4220.000000,4188.974121,4283.846191,4243.974121,4221.794922,4181.794922,4207.307617,4202.820313,4206.282227,4207.563965,4502.948730,4401.666504,4359.487305,4425.769043,6294.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
