title:مضر يمين, start timestamp:1703402446.652864, stop timestamp:1703402457.427980, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402446.652864,1703402446.652946,34.000000,0.000000,4101.794922,4170.128418,4252.051270,4147.436035,4177.051270,4181.025879,4276.025879,4200.128418,4179.230957,4106.025879,4475.641113,4386.025879,4323.589844,4407.436035,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.660672,1703402446.660854,35.000000,0.000000,4109.615234,4177.948730,4251.153809,4153.589844,4174.230957,4180.641113,4278.589844,4204.743652,4186.025879,4105.256348,4477.820313,4382.820313,4325.128418,4408.077148,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.668480,1703402446.668662,36.000000,0.000000,4107.692383,4175.512695,4250.512695,4156.153809,4182.179688,4174.102539,4275.384766,4204.358887,4177.307617,4103.461426,4472.436035,4374.615234,4316.922852,4401.025879,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.681889,-0.080383,-0.695007,0.213379,0.909779,-0.404835,0.032230,-31.008177,-8.117132,75.908302
1703402446.676288,1703402446.676470,37.000000,0.000000,4102.692383,4173.717773,4248.205078,4153.205078,4190.128418,4175.897461,4272.179688,4199.743652,4172.307617,4108.333496,4468.717773,4371.410156,4312.307617,4398.205078,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.684096,1703402446.684178,38.000000,0.000000,4103.846191,4181.538574,4245.641113,4155.897461,4179.230957,4178.846191,4273.589844,4190.128418,4169.487305,4097.436035,4468.205078,4375.897461,4317.179688,4400.256348,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.691904,1703402446.692086,39.000000,0.000000,4105.512695,4180.256348,4243.589844,4157.948730,4170.000000,4170.769043,4270.897461,4182.948730,4157.692383,4083.589844,4462.692383,4374.871582,4315.641113,4399.230957,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.699712,1703402446.699894,40.000000,0.000000,4102.179688,4171.153809,4239.487305,4150.256348,4173.846191,4165.512695,4263.974121,4184.487305,4150.000000,4086.025635,4457.563965,4366.025879,4307.692383,4393.717773,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.681863,-0.080444,-0.695007,0.213440,0.901477,-0.401416,0.026370,-30.874025,-8.138752,75.934143
1703402446.707520,1703402446.707802,41.000000,0.000000,4098.974121,4171.538574,4237.179688,4140.769043,4179.230957,4170.512695,4262.563965,4183.846191,4150.256348,4085.897461,4459.230957,4363.717773,4304.358887,4389.487305,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.715328,1703402446.715610,42.000000,0.000000,4099.615234,4171.153809,4237.948730,4137.179688,4171.922852,4169.358887,4266.153809,4173.077148,4140.769043,4072.820557,4454.102539,4360.641113,4297.436035,4386.666504,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.723137,1703402446.723518,43.000000,0.000000,4097.692383,4163.589844,4238.333496,4140.384766,4165.769043,4166.025879,4265.000000,4165.256348,4132.051270,4067.435791,4448.205078,4353.205078,4288.846191,4383.974121,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.730945,1703402446.731326,44.000000,0.000000,4093.461426,4166.282227,4240.256348,4143.717773,4178.717773,4171.538574,4264.102539,4175.897461,4143.717773,4073.974365,4459.358887,4359.230957,4298.333496,4385.128418,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.681791,-0.080566,-0.695007,0.213623,0.907337,-0.407765,0.024905,-30.803289,-8.158211,75.957390
1703402446.738752,1703402446.739234,45.000000,0.000000,4091.923096,4173.077148,4240.769043,4141.153809,4183.846191,4176.410156,4265.128418,4184.743652,4156.666504,4076.666748,4465.384766,4365.000000,4308.333496,4384.871582,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.746561,1703402446.747042,46.000000,0.000000,4094.871826,4166.538574,4237.692383,4136.794922,4170.641113,4173.589844,4263.333496,4176.282227,4153.461426,4076.025635,4456.153809,4356.025879,4302.692383,4383.333496,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402446.754369,1703402446.754750,47.000000,0.000000,4102.307617,4161.153809,4240.641113,4138.974121,4171.794922,4169.871582,4263.205078,4171.410156,4154.615234,4086.410156,4462.948730,4360.000000,4304.102539,4394.358887,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
