title:نوار يمين, start timestamp:1703161242.988624, stop timestamp:1703161254.013588, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1413      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703161242.988624,1703161242.989475,63.000000,0.000000,4216.410156,4170.128418,4296.794922,4233.077148,4131.153809,4117.436035,4106.922852,4120.897461,4106.410156,4110.512695,4645.641113,4466.538574,4400.384766,4554.487305,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161242.996431,1703161242.997383,64.000000,0.000000,4217.820313,4170.256348,4299.871582,4235.000000,4140.384766,4123.205078,4108.846191,4121.025879,4105.641113,4110.128418,4648.589844,4469.615234,4408.846191,4564.102539,5188.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.383939,0.575317,-0.321960,0.646484,0.984007,0.030765,0.132829,-17.299408,-33.661625,65.044479
1703161243.004239,1703161243.005191,65.000000,0.000000,4217.692383,4169.871582,4296.410156,4237.307617,4139.230957,4120.512695,4108.461426,4120.256348,4104.230957,4109.487305,4649.358887,4463.205078,4415.641113,4567.948730,5323.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.012048,1703161243.013099,66.000000,0.000000,4219.871582,4171.025879,4291.410156,4233.461426,4136.538574,4119.230957,4101.922852,4116.538574,4103.589844,4115.641113,4651.410156,4459.102539,4416.025879,4566.538574,5263.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.019856,1703161243.021007,67.000000,0.000000,4215.128418,4167.307617,4288.974121,4229.230957,4133.846191,4120.512695,4097.051270,4114.743652,4109.871582,4120.769043,4648.589844,4458.077148,4410.897461,4558.846191,5243.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.027664,1703161243.028815,68.000000,0.000000,4206.922852,4162.436035,4285.769043,4230.000000,4132.436035,4118.077148,4101.025879,4126.025879,4128.974121,4124.230957,4644.871582,4459.102539,4408.333496,4553.717773,5091.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.383734,0.575317,-0.322205,0.646484,0.999634,0.031254,0.134782,-17.152802,-33.578796,65.056694
1703161243.035472,1703161243.036624,69.000000,0.000000,4212.179688,4166.922852,4289.871582,4232.692383,4136.538574,4118.205078,4107.948730,4144.871582,4147.307617,4130.000000,4657.436035,4469.743652,4416.025879,4563.589844,5146.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.043280,1703161243.044332,70.000000,0.000000,4220.897461,4174.230957,4293.461426,4235.512695,4140.256348,4119.871582,4107.948730,4153.077148,4144.615234,4130.256348,4665.897461,4475.000000,4417.051270,4570.512695,5038.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.051088,1703161243.052140,71.000000,0.000000,4213.077148,4170.000000,4287.051270,4233.589844,4138.205078,4117.820313,4105.384766,4152.179688,4142.692383,4125.897461,4661.794922,4468.077148,4412.436035,4563.974121,5230.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161243.058896,1703161243.059848,72.000000,0.000000,4205.641113,4163.846191,4290.512695,4230.769043,4138.461426,4120.000000,4111.666504,4156.666504,4155.384766,4127.820313,4667.307617,4473.205078,4421.666504,4566.025879,4959.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.383226,0.575623,-0.322632,0.646301,0.990355,0.033696,0.134782,-17.070854,-33.637585,65.234360
