title:الما يمين, start timestamp:1703404571.928040, stop timestamp:1703404582.679726, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404571.928040,1703404571.928546,111.000000,0.000000,4165.641113,4119.230957,4219.487305,4216.282227,4154.871582,4164.871582,4248.589844,4152.307617,4146.282227,4120.512695,4610.384766,4454.358887,4375.512695,4494.743652,6189.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.935848,1703404571.936454,112.000000,0.000000,4173.077148,4128.077148,4222.820313,4215.000000,4154.615234,4158.205078,4251.666504,4170.256348,4160.384766,4144.615234,4630.769043,4467.820313,4399.871582,4518.077148,6628.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.644550,-0.317688,-0.659729,-0.219971,0.984984,-0.117690,-0.024417,-12.294167,-40.849136,62.573715
1703404571.943656,1703404571.944262,113.000000,0.000000,4184.615234,4139.358887,4223.333496,4223.717773,4139.487305,4153.589844,4249.487305,4176.538574,4160.000000,4126.410156,4629.487305,4468.461426,4400.897461,4525.256348,6502.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.951464,1703404571.952170,114.000000,0.000000,4185.897461,4146.922852,4221.025879,4232.436035,4150.512695,4154.871582,4248.333496,4168.205078,4151.410156,4093.205078,4605.512695,4453.461426,4382.051270,4508.461426,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.959272,1703404571.959978,115.000000,0.000000,4182.179688,4152.563965,4221.922852,4233.589844,4173.333496,4158.333496,4249.102539,4155.641113,4149.358887,4088.718018,4600.512695,4444.871582,4377.179688,4502.307617,6189.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.967080,1703404571.967886,116.000000,0.000000,4186.922852,4157.179688,4224.102539,4237.692383,4172.051270,4162.692383,4248.077148,4150.256348,4155.512695,4106.410156,4610.641113,4448.717773,4383.205078,4509.358887,6628.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.644754,-0.317444,-0.659668,-0.219910,0.987425,-0.133805,-0.030765,-12.414750,-40.864223,62.433010
1703404571.974888,1703404571.975694,117.000000,0.000000,4185.384766,4148.333496,4217.820313,4235.897461,4153.205078,4159.615234,4248.077148,4151.666504,4156.025879,4123.589844,4606.025879,4450.512695,4381.025879,4509.615234,6502.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.982696,1703404571.983602,118.000000,0.000000,4170.256348,4130.641113,4209.358887,4220.897461,4136.025879,4144.487305,4248.333496,4158.205078,4150.641113,4117.563965,4603.589844,4448.974121,4373.589844,4501.794922,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.990504,1703404571.991410,119.000000,0.000000,4163.333496,4129.871582,4212.436035,4219.743652,4132.948730,4139.102539,4248.974121,4167.948730,4153.077148,4099.871582,4619.102539,4458.461426,4380.512695,4505.128418,6189.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404571.998312,1703404571.999118,120.000000,0.000000,4178.077148,4143.717773,4224.102539,4234.102539,4144.230957,4146.153809,4249.871582,4176.025879,4153.461426,4112.948730,4624.487305,4468.589844,4391.282227,4516.666504,6628.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.644837,-0.317444,-0.659607,-0.219849,0.975705,-0.138200,-0.025882,-12.523274,-40.927803,62.473042
1703404572.006120,1703404572.006926,121.000000,0.000000,4186.282227,4145.769043,4229.487305,4236.282227,4149.487305,4149.615234,4247.948730,4169.871582,4141.666504,4129.102539,4609.743652,4457.820313,4389.358887,4516.025879,6502.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404572.013928,1703404572.014634,122.000000,0.000000,4174.358887,4141.538574,4220.769043,4233.077148,4158.589844,4159.487305,4245.000000,4154.487305,4139.102539,4110.000000,4599.743652,4437.436035,4380.384766,4501.282227,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404572.021736,1703404572.022442,123.000000,0.000000,4168.077148,4141.666504,4210.769043,4234.487305,4172.948730,4168.589844,4246.538574,4148.717773,4133.205078,4085.769287,4599.230957,4432.563965,4368.717773,4491.666504,6189.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404572.029544,1703404572.030150,124.000000,0.000000,4165.512695,4135.000000,4206.922852,4228.333496,4161.666504,4160.256348,4248.589844,4153.205078,4112.692383,4092.692383,4598.589844,4440.000000,4355.641113,4489.615234,6628.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.645013,-0.317383,-0.659424,-0.219971,0.988890,-0.121109,-0.034184,-12.570948,-40.901688,62.425739
1703404572.037352,1703404572.037958,125.000000,0.000000,4162.307617,4130.512695,4210.512695,4222.692383,4145.512695,4149.487305,4246.794922,4155.897461,4122.948730,4114.102539,4599.102539,4451.025879,4357.692383,4490.769043,6502.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
