title:جمعة يمين, start timestamp:1703163232.263153, stop timestamp:1703163243.155365, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1396      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163232.263153,1703163232.264033,76.000000,0.000000,4123.717773,4092.435791,4212.820313,4162.948730,4055.256348,4062.820557,4144.230957,4132.948730,4066.153809,4057.820557,4581.538574,4394.102539,4333.461426,4490.000000,6302.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.683890,0.041077,-0.693604,0.222534,0.958125,-0.230497,0.033207,-9.182519,-46.798599,65.466713
1703163232.270961,1703163232.271741,77.000000,0.000000,4124.615234,4099.358887,4213.205078,4167.948730,4057.307617,4065.769287,4150.000000,4137.179688,4068.718018,4065.769287,4582.820313,4397.179688,4330.256348,4489.615234,5878.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.278769,1703163232.279549,78.000000,0.000000,4131.025879,4107.307617,4219.743652,4169.487305,4072.692383,4071.538574,4146.282227,4130.128418,4069.487061,4087.179443,4576.922852,4401.922852,4333.974121,4496.282227,5714.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.286577,1703163232.287257,79.000000,0.000000,4125.128418,4102.051270,4213.589844,4164.871582,4064.615479,4060.256348,4138.589844,4118.974121,4054.230713,4079.358887,4563.205078,4391.153809,4327.179688,4484.743652,6023.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.294385,1703163232.295065,80.000000,0.000000,4118.333496,4095.128174,4205.897461,4161.025879,4035.000000,4046.666748,4138.846191,4120.128418,4040.000000,4050.256348,4561.538574,4385.128418,4319.102539,4474.487305,6302.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.683913,0.041016,-0.693604,0.222473,0.974240,-0.244659,0.027835,-9.147601,-46.652073,65.470039
1703163232.302193,1703163232.302773,81.000000,0.000000,4133.205078,4106.666504,4219.487305,4166.153809,4053.974365,4056.538574,4139.871582,4124.358887,4035.641113,4042.692383,4573.461426,4397.436035,4334.358887,4496.153809,5878.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.310001,1703163232.310581,82.000000,0.000000,4146.922852,4119.743652,4233.846191,4175.897461,4086.666748,4058.846191,4130.641113,4113.717773,4027.051270,4065.641113,4575.769043,4403.589844,4343.846191,4513.461426,5714.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.317809,1703163232.318289,83.000000,0.000000,4147.820313,4120.897461,4232.563965,4183.077148,4072.564209,4040.384521,4123.205078,4109.230957,4027.179443,4084.871826,4578.589844,4403.205078,4338.717773,4504.615234,6023.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.325617,1703163232.326097,84.000000,0.000000,4152.307617,4122.307617,4230.897461,4182.820313,4055.512939,4037.435791,4126.922852,4119.615234,4043.589844,4074.615479,4594.871582,4408.205078,4346.282227,4503.846191,6302.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.683995,0.041016,-0.693542,0.222412,0.966915,-0.244170,0.032230,-9.182840,-46.553532,65.373039
1703163232.333426,1703163232.333805,85.000000,0.000000,4156.282227,4126.410156,4235.641113,4175.128418,4062.307617,4055.128174,4129.871582,4121.922852,4053.205078,4069.615479,4603.974121,4406.282227,4356.410156,4513.589844,5878.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.341234,1703163232.341713,86.000000,0.000000,4149.487305,4121.538574,4229.487305,4170.000000,4068.205078,4059.743652,4128.589844,4114.743652,4053.076904,4078.718018,4589.102539,4395.384766,4345.256348,4508.333496,5714.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163232.349042,1703163232.349521,87.000000,0.000000,4141.282227,4109.487305,4220.128418,4169.487305,4062.692383,4056.410156,4131.922852,4116.282227,4061.025635,4077.692383,4579.487305,4393.846191,4337.948730,4503.589844,6023.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
