title:حازم يمين, start timestamp:1703494118.220303, stop timestamp:1703494128.932944, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1373      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494118.220303,1703494118.220708,33.000000,0.000000,4235.384766,4244.230957,4290.128418,4275.128418,4237.051270,4230.384766,4232.948730,4231.538574,4229.615234,4219.487305,4510.512695,4452.820313,4387.563965,4436.666504,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.228111,1703494118.228416,34.000000,0.000000,4232.948730,4246.153809,4290.769043,4277.948730,4244.615234,4227.436035,4233.205078,4222.820313,4225.897461,4216.025879,4497.820313,4444.358887,4378.461426,4427.948730,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.235919,1703494118.236224,35.000000,0.000000,4222.307617,4238.589844,4285.256348,4277.563965,4236.922852,4224.487305,4232.436035,4217.563965,4222.051270,4205.128418,4487.051270,4436.538574,4358.717773,4412.307617,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.243727,1703494118.243932,36.000000,0.000000,4215.769043,4228.205078,4283.846191,4266.922852,4226.922852,4216.922852,4230.128418,4219.230957,4218.077148,4200.384766,4491.666504,4439.871582,4348.333496,4410.256348,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.485516,0.414490,-0.534485,0.553894,0.952753,-0.187035,0.081553,-13.704556,-45.700329,65.890495
1703494118.251535,1703494118.251740,37.000000,0.000000,4216.666504,4229.743652,4286.922852,4262.820313,4227.436035,4214.487305,4227.436035,4218.589844,4215.256348,4201.282227,4493.077148,4444.230957,4358.717773,4411.666504,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.259343,1703494118.259448,38.000000,0.000000,4222.820313,4238.974121,4285.384766,4273.846191,4233.717773,4222.563965,4225.897461,4215.769043,4213.461426,4201.538574,4493.205078,4444.743652,4368.205078,4413.205078,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.267151,1703494118.267356,39.000000,0.000000,4229.743652,4247.307617,4289.358887,4281.153809,4236.025879,4227.179688,4222.820313,4216.538574,4213.077148,4207.051270,4501.410156,4445.384766,4367.051270,4420.256348,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.274959,1703494118.275164,40.000000,0.000000,4231.025879,4250.128418,4298.461426,4278.589844,4233.846191,4228.717773,4221.410156,4222.436035,4216.025879,4216.666504,4512.692383,4451.025879,4372.692383,4426.410156,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.485379,0.414490,-0.534546,0.553955,0.961055,-0.205591,0.087413,-13.617435,-45.630295,66.068115
1703494118.282767,1703494118.283072,41.000000,0.000000,4230.897461,4244.358887,4297.820313,4278.205078,4233.846191,4228.077148,4224.230957,4227.563965,4222.692383,4217.436035,4519.102539,4456.794922,4382.948730,4427.307617,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494118.290575,1703494118.290880,42.000000,0.000000,4232.948730,4244.615234,4292.179688,4279.871582,4235.512695,4222.307617,4228.205078,4228.974121,4229.743652,4216.410156,4525.128418,4455.641113,4388.077148,4433.974121,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
